question,question_idx,system_prompt,user_prompt,answer_number,model_answer,model correct
珍妮特的鸭子每天下 16 颗蛋。她每天早上早餐时吃 3 颗，每天用 4 颗为自己的朋友做松饼。剩下的鸭蛋她每天拿去农贸市场卖，每颗新鲜鸭蛋卖 2 美元。她每天在农贸市场赚多少钱？,0,"Follow the given examples and answer the question. In your response, use step-by-step reasoning in en. The last sentence of the response must be in the format of - The answer is {final answer}. As examples:
For user's prompt -
问题：罗杰有 5 个网球。他又买了 2 罐网球。每罐有 3 个网球。他现在有多少个网球？
assitant's repsonse should be - 
Step-by-Step Answer: Roger started with 5 balls. 2 cans of 3 tennis balls each is 6 tennis balls. 5 + 6 = 11. The answer is 11.
For user's prompt -
问题：服务器机房里有九台电脑。从周一到周四，每天又安装了五台电脑。服务器机房里现在有多少台电脑？
assitant's repsonse should be - 
Step-by-Step Answer: There are 4 days from monday to thursday. 5 computers were added each day. That means in total 4 * 5 = 20 computers were added. There were 9 computers in the beginning, so now there are 9 + 20 = 29 computers. The answer is 29.
For user's prompt -
问题：利亚有 32 块巧克力，她妹妹有 42 块。如果她们吃了 35 块，她们一共还剩下多少块？
assitant's repsonse should be - 
Step-by-Step Answer: Leah had 32 chocolates and Leah’s sister had 42. That means there were originally 32 + 42 = 74 chocolates. 35 have been eaten. So in total they still have 74 - 35 = 39 chocolates. The answer is 39.
",Question: 珍妮特的鸭子每天下 16 颗蛋。她每天早上早餐时吃 3 颗，每天用 4 颗为自己的朋友做松饼。剩下的鸭蛋她每天拿去农贸市场卖，每颗新鲜鸭蛋卖 2 美元。她每天在农贸市场赚多少钱？,18,"Step-by-Step Answer: Janet's ducks lay 16 eggs every day. She eats 3 eggs for breakfast every day and uses 4 eggs to make pancakes for her friends. The remaining eggs are sold at the farmers market for $2 each. To calculate how much money she earns at the farmers market, we need to find out how many eggs are left after breakfast and making pancakes. 

16 eggs - 3 eggs (for breakfast) - 4 eggs (for pancakes) = 9 eggs

So, Janet sells 9 eggs at the farmers market every day. 

To calculate how much money she earns, we multiply the number of eggs sold by the price per egg:

9 eggs * $2/egg = $18

Therefore, Janet earns $18 at the farmers market every day. The answer is $18.",True
制作一件袍子需要 2 匹蓝色纤维布料和这个数量一半的白色纤维布料。它一共需要用掉多少匹布料？,1,"Follow the given examples and answer the question. In your response, use step-by-step reasoning in en. The last sentence of the response must be in the format of - The answer is {final answer}. As examples:
For user's prompt -
问题：罗杰有 5 个网球。他又买了 2 罐网球。每罐有 3 个网球。他现在有多少个网球？
assitant's repsonse should be - 
Step-by-Step Answer: Roger started with 5 balls. 2 cans of 3 tennis balls each is 6 tennis balls. 5 + 6 = 11. The answer is 11.
For user's prompt -
问题：服务器机房里有九台电脑。从周一到周四，每天又安装了五台电脑。服务器机房里现在有多少台电脑？
assitant's repsonse should be - 
Step-by-Step Answer: There are 4 days from monday to thursday. 5 computers were added each day. That means in total 4 * 5 = 20 computers were added. There were 9 computers in the beginning, so now there are 9 + 20 = 29 computers. The answer is 29.
For user's prompt -
问题：利亚有 32 块巧克力，她妹妹有 42 块。如果她们吃了 35 块，她们一共还剩下多少块？
assitant's repsonse should be - 
Step-by-Step Answer: Leah had 32 chocolates and Leah’s sister had 42. That means there were originally 32 + 42 = 74 chocolates. 35 have been eaten. So in total they still have 74 - 35 = 39 chocolates. The answer is 39.
",Question: 制作一件袍子需要 2 匹蓝色纤维布料和这个数量一半的白色纤维布料。它一共需要用掉多少匹布料？,3,"Step-by-Step Answer: To make one robe, you need 2 pieces of blue fiber fabric and half that amount of white fiber fabric. So, you need 2 + (1/2) * 2 = 2 + 1 = 3 pieces of fabric in total. The answer is 3.",True
"乔希决定试试房屋翻新。他花了 80,000 美元买了一套房子，然后投入 50,000 美元进行维修。这样做使房子的价值增加了 150%。他赚了多少利润？",2,"Follow the given examples and answer the question. In your response, use step-by-step reasoning in en. The last sentence of the response must be in the format of - The answer is {final answer}. As examples:
For user's prompt -
问题：罗杰有 5 个网球。他又买了 2 罐网球。每罐有 3 个网球。他现在有多少个网球？
assitant's repsonse should be - 
Step-by-Step Answer: Roger started with 5 balls. 2 cans of 3 tennis balls each is 6 tennis balls. 5 + 6 = 11. The answer is 11.
For user's prompt -
问题：服务器机房里有九台电脑。从周一到周四，每天又安装了五台电脑。服务器机房里现在有多少台电脑？
assitant's repsonse should be - 
Step-by-Step Answer: There are 4 days from monday to thursday. 5 computers were added each day. That means in total 4 * 5 = 20 computers were added. There were 9 computers in the beginning, so now there are 9 + 20 = 29 computers. The answer is 29.
For user's prompt -
问题：利亚有 32 块巧克力，她妹妹有 42 块。如果她们吃了 35 块，她们一共还剩下多少块？
assitant's repsonse should be - 
Step-by-Step Answer: Leah had 32 chocolates and Leah’s sister had 42. That means there were originally 32 + 42 = 74 chocolates. 35 have been eaten. So in total they still have 74 - 35 = 39 chocolates. The answer is 39.
","Question: 乔希决定试试房屋翻新。他花了 80,000 美元买了一套房子，然后投入 50,000 美元进行维修。这样做使房子的价值增加了 150%。他赚了多少利润？",70000,"Step-by-Step Answer: 
Josh bought a house for $80,000 and spent $50,000 on renovations. This means he invested a total of $80,000 + $50,000 = $130,000.
The value of the house increased by 150%, which means it increased by 150/100 * $130,000 = $195,000.
To calculate the profit, we subtract the total investment from the increased value of the house: $195,000 - $130,000 = $65,000.
Therefore, Josh made a profit of $65,000.
The answer is $65,000.",False
詹姆斯决定每周跑 3 次 3 段冲刺，每段冲刺跑 60 米。他每周一共跑多少米？,3,"Follow the given examples and answer the question. In your response, use step-by-step reasoning in en. The last sentence of the response must be in the format of - The answer is {final answer}. As examples:
For user's prompt -
问题：罗杰有 5 个网球。他又买了 2 罐网球。每罐有 3 个网球。他现在有多少个网球？
assitant's repsonse should be - 
Step-by-Step Answer: Roger started with 5 balls. 2 cans of 3 tennis balls each is 6 tennis balls. 5 + 6 = 11. The answer is 11.
For user's prompt -
问题：服务器机房里有九台电脑。从周一到周四，每天又安装了五台电脑。服务器机房里现在有多少台电脑？
assitant's repsonse should be - 
Step-by-Step Answer: There are 4 days from monday to thursday. 5 computers were added each day. That means in total 4 * 5 = 20 computers were added. There were 9 computers in the beginning, so now there are 9 + 20 = 29 computers. The answer is 29.
For user's prompt -
问题：利亚有 32 块巧克力，她妹妹有 42 块。如果她们吃了 35 块，她们一共还剩下多少块？
assitant's repsonse should be - 
Step-by-Step Answer: Leah had 32 chocolates and Leah’s sister had 42. That means there were originally 32 + 42 = 74 chocolates. 35 have been eaten. So in total they still have 74 - 35 = 39 chocolates. The answer is 39.
",Question: 詹姆斯决定每周跑 3 次 3 段冲刺，每段冲刺跑 60 米。他每周一共跑多少米？,540,"Step-by-Step Answer: James runs 3 sprints per week, and each sprint is 60 meters long. So, in total, James runs 3 * 60 = 180 meters per week. The answer is 180.",False
温迪每天给她的每只鸡喂 3 杯含有种子、黄粉虫和蔬菜的混合鸡饲料，以帮助它们保持健康。她给鸡喂 3 顿饲料。上午，她给鸡群喂 15 杯饲料。下午，她给鸡喂 25 杯饲料。如果温迪的鸡群规模达到 20 只，则在一天中的最后一顿，她需要给鸡喂多少杯饲料？,4,"Follow the given examples and answer the question. In your response, use step-by-step reasoning in en. The last sentence of the response must be in the format of - The answer is {final answer}. As examples:
For user's prompt -
问题：罗杰有 5 个网球。他又买了 2 罐网球。每罐有 3 个网球。他现在有多少个网球？
assitant's repsonse should be - 
Step-by-Step Answer: Roger started with 5 balls. 2 cans of 3 tennis balls each is 6 tennis balls. 5 + 6 = 11. The answer is 11.
For user's prompt -
问题：服务器机房里有九台电脑。从周一到周四，每天又安装了五台电脑。服务器机房里现在有多少台电脑？
assitant's repsonse should be - 
Step-by-Step Answer: There are 4 days from monday to thursday. 5 computers were added each day. That means in total 4 * 5 = 20 computers were added. There were 9 computers in the beginning, so now there are 9 + 20 = 29 computers. The answer is 29.
For user's prompt -
问题：利亚有 32 块巧克力，她妹妹有 42 块。如果她们吃了 35 块，她们一共还剩下多少块？
assitant's repsonse should be - 
Step-by-Step Answer: Leah had 32 chocolates and Leah’s sister had 42. That means there were originally 32 + 42 = 74 chocolates. 35 have been eaten. So in total they still have 74 - 35 = 39 chocolates. The answer is 39.
",Question: 温迪每天给她的每只鸡喂 3 杯含有种子、黄粉虫和蔬菜的混合鸡饲料，以帮助它们保持健康。她给鸡喂 3 顿饲料。上午，她给鸡群喂 15 杯饲料。下午，她给鸡喂 25 杯饲料。如果温迪的鸡群规模达到 20 只，则在一天中的最后一顿，她需要给鸡喂多少杯饲料？,20,"Step-by-Step Answer: Wendy feeds her chickens 3 cups of mixed chicken feed containing seeds, mealworms, and vegetables each day. She feeds the chickens 3 times a day. In the morning, she feeds the flock 15 cups of feed. In the afternoon, she feeds them 25 cups of feed. If Wendy's flock size reaches 20 chickens, how many cups of feed does she need to give them for the last meal of the day?

Wendy feeds the chickens a total of 15 + 25 = 40 cups of feed in the first two meals.
Since she feeds them 3 times a day, the total amount of feed she gives them in a day is 40 * 3 = 120 cups.
If Wendy's flock size reaches 20 chickens, she needs to give them a total of 120 cups / 20 chickens = 6 cups of feed per chicken for the last meal of the day.

The answer is 6.",False
Kylar 去商店为新公寓购买玻璃杯。一个玻璃杯 5 美元，但第二个玻璃杯售价仅为原价的 60%。Kylar 想买 16 个玻璃杯。他需要付多少钱？,5,"Follow the given examples and answer the question. In your response, use step-by-step reasoning in en. The last sentence of the response must be in the format of - The answer is {final answer}. As examples:
For user's prompt -
问题：罗杰有 5 个网球。他又买了 2 罐网球。每罐有 3 个网球。他现在有多少个网球？
assitant's repsonse should be - 
Step-by-Step Answer: Roger started with 5 balls. 2 cans of 3 tennis balls each is 6 tennis balls. 5 + 6 = 11. The answer is 11.
For user's prompt -
问题：服务器机房里有九台电脑。从周一到周四，每天又安装了五台电脑。服务器机房里现在有多少台电脑？
assitant's repsonse should be - 
Step-by-Step Answer: There are 4 days from monday to thursday. 5 computers were added each day. That means in total 4 * 5 = 20 computers were added. There were 9 computers in the beginning, so now there are 9 + 20 = 29 computers. The answer is 29.
For user's prompt -
问题：利亚有 32 块巧克力，她妹妹有 42 块。如果她们吃了 35 块，她们一共还剩下多少块？
assitant's repsonse should be - 
Step-by-Step Answer: Leah had 32 chocolates and Leah’s sister had 42. That means there were originally 32 + 42 = 74 chocolates. 35 have been eaten. So in total they still have 74 - 35 = 39 chocolates. The answer is 39.
",Question: Kylar 去商店为新公寓购买玻璃杯。一个玻璃杯 5 美元，但第二个玻璃杯售价仅为原价的 60%。Kylar 想买 16 个玻璃杯。他需要付多少钱？,64,"Step-by-Step Answer: The first glass costs $5. The second glass is priced at 60% of the original price, which is 0.6 * $5 = $3. Kylar wants to buy 16 glasses, so he needs to pay for 16 * ($5 + $3) = $128. The answer is $128.",False
图卢兹的绵羊数量是查尔斯顿的两倍。查尔斯顿的绵羊数量是西雅图的 4 倍。如果西雅图有 20 只绵羊，图卢兹、查尔斯顿和西雅图一共有多少只绵羊？,6,"Follow the given examples and answer the question. In your response, use step-by-step reasoning in en. The last sentence of the response must be in the format of - The answer is {final answer}. As examples:
For user's prompt -
问题：罗杰有 5 个网球。他又买了 2 罐网球。每罐有 3 个网球。他现在有多少个网球？
assitant's repsonse should be - 
Step-by-Step Answer: Roger started with 5 balls. 2 cans of 3 tennis balls each is 6 tennis balls. 5 + 6 = 11. The answer is 11.
For user's prompt -
问题：服务器机房里有九台电脑。从周一到周四，每天又安装了五台电脑。服务器机房里现在有多少台电脑？
assitant's repsonse should be - 
Step-by-Step Answer: There are 4 days from monday to thursday. 5 computers were added each day. That means in total 4 * 5 = 20 computers were added. There were 9 computers in the beginning, so now there are 9 + 20 = 29 computers. The answer is 29.
For user's prompt -
问题：利亚有 32 块巧克力，她妹妹有 42 块。如果她们吃了 35 块，她们一共还剩下多少块？
assitant's repsonse should be - 
Step-by-Step Answer: Leah had 32 chocolates and Leah’s sister had 42. That means there were originally 32 + 42 = 74 chocolates. 35 have been eaten. So in total they still have 74 - 35 = 39 chocolates. The answer is 39.
",Question: 图卢兹的绵羊数量是查尔斯顿的两倍。查尔斯顿的绵羊数量是西雅图的 4 倍。如果西雅图有 20 只绵羊，图卢兹、查尔斯顿和西雅图一共有多少只绵羊？,260,"Step-by-Step Answer: 
Given that Seattle has 20 sheep, we can calculate the number of sheep in Charleston and Toulouse.

Since Charleston has 4 times the number of sheep in Seattle, Charleston has 4 * 20 = 80 sheep.

And since Toulouse has twice the number of sheep in Charleston, Toulouse has 2 * 80 = 160 sheep.

Therefore, the total number of sheep in Toulouse, Charleston, and Seattle is 160 + 80 + 20 = 260 sheep.

The answer is 260.",True
卡拉正在下载一个 200 GB 的文件。正常情况下，她每分钟可以下载 2 GB，但在下载了 40% 的时候，Windows 强制重新启动以安装更新，而这个过程需要 20 分钟。然后卡拉不得不从头重新下载。下载这份文件需要多长时间？,7,"Follow the given examples and answer the question. In your response, use step-by-step reasoning in en. The last sentence of the response must be in the format of - The answer is {final answer}. As examples:
For user's prompt -
问题：罗杰有 5 个网球。他又买了 2 罐网球。每罐有 3 个网球。他现在有多少个网球？
assitant's repsonse should be - 
Step-by-Step Answer: Roger started with 5 balls. 2 cans of 3 tennis balls each is 6 tennis balls. 5 + 6 = 11. The answer is 11.
For user's prompt -
问题：服务器机房里有九台电脑。从周一到周四，每天又安装了五台电脑。服务器机房里现在有多少台电脑？
assitant's repsonse should be - 
Step-by-Step Answer: There are 4 days from monday to thursday. 5 computers were added each day. That means in total 4 * 5 = 20 computers were added. There were 9 computers in the beginning, so now there are 9 + 20 = 29 computers. The answer is 29.
For user's prompt -
问题：利亚有 32 块巧克力，她妹妹有 42 块。如果她们吃了 35 块，她们一共还剩下多少块？
assitant's repsonse should be - 
Step-by-Step Answer: Leah had 32 chocolates and Leah’s sister had 42. That means there were originally 32 + 42 = 74 chocolates. 35 have been eaten. So in total they still have 74 - 35 = 39 chocolates. The answer is 39.
",Question: 卡拉正在下载一个 200 GB 的文件。正常情况下，她每分钟可以下载 2 GB，但在下载了 40% 的时候，Windows 强制重新启动以安装更新，而这个过程需要 20 分钟。然后卡拉不得不从头重新下载。下载这份文件需要多长时间？,160,"Step-by-Step Answer: 
卡拉每分钟可以下载 2 GB 的文件。
她下载了 40% 的文件，即 0.4 * 200 GB = 80 GB。
然后 Windows 强制重新启动，需要 20 分钟。
在这 20 分钟内，卡拉本应下载 20 * 2 GB = 40 GB 的文件。
但是，她需要重新开始下载整个文件，所以她需要再次下载 200 GB 的文件。
因此，她总共需要下载的文件大小是 80 GB + 200 GB = 280 GB。
每分钟下载 2 GB，所以她需要下载的时间是 280 GB / 2 GB/min = 140 分钟。
所以，卡拉需要下载这份文件 140 分钟。
The answer is 140 minutes.",False
约翰以每小时 60 英里的速度开了 3 小时，然后掉头，因为他意识到自己把非常重要的东西忘在家里了。他尽量在 4 小时后赶到家，但前 2 个小时都消耗在堵塞的交通中了。在接下来的半个小时，他以每小时 30 英里的速度驾驶，然后在 4 小时剩下的时间里，才能以每小时 80 英里的速度行驶。4 个小时结束后，他距离家还有多远？,8,"Follow the given examples and answer the question. In your response, use step-by-step reasoning in en. The last sentence of the response must be in the format of - The answer is {final answer}. As examples:
For user's prompt -
问题：罗杰有 5 个网球。他又买了 2 罐网球。每罐有 3 个网球。他现在有多少个网球？
assitant's repsonse should be - 
Step-by-Step Answer: Roger started with 5 balls. 2 cans of 3 tennis balls each is 6 tennis balls. 5 + 6 = 11. The answer is 11.
For user's prompt -
问题：服务器机房里有九台电脑。从周一到周四，每天又安装了五台电脑。服务器机房里现在有多少台电脑？
assitant's repsonse should be - 
Step-by-Step Answer: There are 4 days from monday to thursday. 5 computers were added each day. That means in total 4 * 5 = 20 computers were added. There were 9 computers in the beginning, so now there are 9 + 20 = 29 computers. The answer is 29.
For user's prompt -
问题：利亚有 32 块巧克力，她妹妹有 42 块。如果她们吃了 35 块，她们一共还剩下多少块？
assitant's repsonse should be - 
Step-by-Step Answer: Leah had 32 chocolates and Leah’s sister had 42. That means there were originally 32 + 42 = 74 chocolates. 35 have been eaten. So in total they still have 74 - 35 = 39 chocolates. The answer is 39.
",Question: 约翰以每小时 60 英里的速度开了 3 小时，然后掉头，因为他意识到自己把非常重要的东西忘在家里了。他尽量在 4 小时后赶到家，但前 2 个小时都消耗在堵塞的交通中了。在接下来的半个小时，他以每小时 30 英里的速度驾驶，然后在 4 小时剩下的时间里，才能以每小时 80 英里的速度行驶。4 个小时结束后，他距离家还有多远？,45,"Step-by-Step Answer: 
John drove for 3 hours at a speed of 60 miles per hour, so he traveled a distance of 3 * 60 = 180 miles.
Then he turned around and drove for 2 hours in heavy traffic, so he didn't make any progress towards home during that time.
After that, he drove for half an hour at a speed of 30 miles per hour, so he traveled a distance of 0.5 * 30 = 15 miles.
Finally, he drove for the remaining 4 hours at a speed of 80 miles per hour, so he traveled a distance of 4 * 80 = 320 miles.
In total, he traveled a distance of 180 + 15 + 320 = 515 miles away from home.
The answer is 515.",False
伊莉莎每周工作的前 40 个小时的时薪是 10 美元。她加班还能获得标准时薪 1.2 倍的工资。如果 Eliza 这周工作了 45 小时，她这周的收入是多少？,9,"Follow the given examples and answer the question. In your response, use step-by-step reasoning in en. The last sentence of the response must be in the format of - The answer is {final answer}. As examples:
For user's prompt -
问题：罗杰有 5 个网球。他又买了 2 罐网球。每罐有 3 个网球。他现在有多少个网球？
assitant's repsonse should be - 
Step-by-Step Answer: Roger started with 5 balls. 2 cans of 3 tennis balls each is 6 tennis balls. 5 + 6 = 11. The answer is 11.
For user's prompt -
问题：服务器机房里有九台电脑。从周一到周四，每天又安装了五台电脑。服务器机房里现在有多少台电脑？
assitant's repsonse should be - 
Step-by-Step Answer: There are 4 days from monday to thursday. 5 computers were added each day. That means in total 4 * 5 = 20 computers were added. There were 9 computers in the beginning, so now there are 9 + 20 = 29 computers. The answer is 29.
For user's prompt -
问题：利亚有 32 块巧克力，她妹妹有 42 块。如果她们吃了 35 块，她们一共还剩下多少块？
assitant's repsonse should be - 
Step-by-Step Answer: Leah had 32 chocolates and Leah’s sister had 42. That means there were originally 32 + 42 = 74 chocolates. 35 have been eaten. So in total they still have 74 - 35 = 39 chocolates. The answer is 39.
",Question: 伊莉莎每周工作的前 40 个小时的时薪是 10 美元。她加班还能获得标准时薪 1.2 倍的工资。如果 Eliza 这周工作了 45 小时，她这周的收入是多少？,460,"Step-by-Step Answer: Eliza's regular hourly wage is $10 for the first 40 hours of work. This means that for the first 40 hours, she earns a total of $10 * 40 = $400. 

For the additional 5 hours of overtime, Eliza earns 1.2 times her regular hourly wage. So for the overtime hours, she earns $10 * 1.2 = $12 per hour. 

Therefore, for the overtime hours, Eliza earns a total of $12 * 5 = $60. 

Adding the regular pay and the overtime pay together, Eliza's total income for the week is $400 + $60 = $460. 

The answer is $460.",True
