question,question_idx,system_prompt,user_prompt,answer_number,model_answer,model correct,answer_n_token_3.5,answer_n_token_4o,is_fucked
জেনেটের হাঁসগুলি প্রতিদিন 16টি করে ডিম পাড়ে। তিনি প্রতিদিন প্রাতরাশে তিনটি করে ডিম খান এবং বন্ধুদের জন্য প্রতিদিন চারটি ডিম দিয়ে মাফিন তৈরি করেন। অবশিষ্ট হাঁসের ডিমগুলি তিনি প্রতিদিন কৃষকদের বাজারে প্রতি ডিম $2 দরে বিক্রয় করেন। তিনি কৃষকদের বাজারে প্রতিদিন কত ডলার উপার্জন করেন?,0,"Follow the given examples and answer the question. Give only a final answer in the format X={numeric answer}. Do not include any other text in your response also don't include any textual or symbolic words beside the numeric answer. Here are the examples:
প্রশ্ন: রজারের 5টি টেনিস বল আছে। সে আরও 2 ক্যান টেনিস বল কিনেছে। প্রতিটি ক্যানে 3টি করে টেনিস বল আছে। তার কাছে এখন কতগুলি টেনিস বল আছে?
X=11
প্রশ্ন: সার্ভার কক্ষে নয়টি কম্পিউটার ছিল। সোমবার থেকে বৃহস্পতিবার প্রতিদিন আরও পাঁচটি করে কম্পিউটার স্থাপন করা হয়েছিল। সার্ভার কক্ষে এখন কতগুলি কম্পিউটার আছে?
X=29
প্রশ্ন: লিয়ার 32টি চকোলেট ছিল এবং তার বোনের ছিল 42টি। যদি তারা 35টি খেয়ে থাকে, তাহলে তাদের কাছে মোট কতগুলি অবিশিষ্ট আছে?
X=39",Question: জেনেটের হাঁসগুলি প্রতিদিন 16টি করে ডিম পাড়ে। তিনি প্রতিদিন প্রাতরাশে তিনটি করে ডিম খান এবং বন্ধুদের জন্য প্রতিদিন চারটি ডিম দিয়ে মাফিন তৈরি করেন। অবশিষ্ট হাঁসের ডিমগুলি তিনি প্রতিদিন কৃষকদের বাজারে প্রতি ডিম $2 দরে বিক্রয় করেন। তিনি কৃষকদের বাজারে প্রতিদিন কত ডলার উপার্জন করেন?,18,X=96,False,3,3,False
একটি পোশাক তৈরি করতে 2 রিল নীল সুতো এবং তার অর্ধেক সাদা সুতো লাগে। এটি তৈরি করতে মোট কতগুলি রিল লাগবে?,1,"Follow the given examples and answer the question. Give only a final answer in the format X={numeric answer}. Do not include any other text in your response also don't include any textual or symbolic words beside the numeric answer. Here are the examples:
প্রশ্ন: রজারের 5টি টেনিস বল আছে। সে আরও 2 ক্যান টেনিস বল কিনেছে। প্রতিটি ক্যানে 3টি করে টেনিস বল আছে। তার কাছে এখন কতগুলি টেনিস বল আছে?
X=11
প্রশ্ন: সার্ভার কক্ষে নয়টি কম্পিউটার ছিল। সোমবার থেকে বৃহস্পতিবার প্রতিদিন আরও পাঁচটি করে কম্পিউটার স্থাপন করা হয়েছিল। সার্ভার কক্ষে এখন কতগুলি কম্পিউটার আছে?
X=29
প্রশ্ন: লিয়ার 32টি চকোলেট ছিল এবং তার বোনের ছিল 42টি। যদি তারা 35টি খেয়ে থাকে, তাহলে তাদের কাছে মোট কতগুলি অবিশিষ্ট আছে?
X=39",Question: একটি পোশাক তৈরি করতে 2 রিল নীল সুতো এবং তার অর্ধেক সাদা সুতো লাগে। এটি তৈরি করতে মোট কতগুলি রিল লাগবে?,3,X=3,True,3,3,False
"জোশ একটি বাড়ি ফ্লিপ করার সিদ্ধান্ত নিয়েছেন। তিনি $80,000-এ একটি বাড়ি ক্রয় করলেন এবং $50,000 দিয়ে মেরামত করলেন। এর ফলে বাড়িটির মূল্য 150% বৃদ্ধি পেল। তিনি কত ডলার লাভ করলেন?",2,"Follow the given examples and answer the question. Give only a final answer in the format X={numeric answer}. Do not include any other text in your response also don't include any textual or symbolic words beside the numeric answer. Here are the examples:
প্রশ্ন: রজারের 5টি টেনিস বল আছে। সে আরও 2 ক্যান টেনিস বল কিনেছে। প্রতিটি ক্যানে 3টি করে টেনিস বল আছে। তার কাছে এখন কতগুলি টেনিস বল আছে?
X=11
প্রশ্ন: সার্ভার কক্ষে নয়টি কম্পিউটার ছিল। সোমবার থেকে বৃহস্পতিবার প্রতিদিন আরও পাঁচটি করে কম্পিউটার স্থাপন করা হয়েছিল। সার্ভার কক্ষে এখন কতগুলি কম্পিউটার আছে?
X=29
প্রশ্ন: লিয়ার 32টি চকোলেট ছিল এবং তার বোনের ছিল 42টি। যদি তারা 35টি খেয়ে থাকে, তাহলে তাদের কাছে মোট কতগুলি অবিশিষ্ট আছে?
X=39","Question: জোশ একটি বাড়ি ফ্লিপ করার সিদ্ধান্ত নিয়েছেন। তিনি $80,000-এ একটি বাড়ি ক্রয় করলেন এবং $50,000 দিয়ে মেরামত করলেন। এর ফলে বাড়িটির মূল্য 150% বৃদ্ধি পেল। তিনি কত ডলার লাভ করলেন?",70000,"X=70,000",True,5,5,False
জেমস এক সপ্তাহে 3 বার 3টি স্প্রিন্টে দৌড়ানোর সিদ্ধান্ত নিয়েছেন। তিনি প্রতি স্প্রিন্টে 60 মিটার করে দৌড়ান। তিনি এক সপ্তাহে মোট কত মিটার করে দৌড়ান?,3,"Follow the given examples and answer the question. Give only a final answer in the format X={numeric answer}. Do not include any other text in your response also don't include any textual or symbolic words beside the numeric answer. Here are the examples:
প্রশ্ন: রজারের 5টি টেনিস বল আছে। সে আরও 2 ক্যান টেনিস বল কিনেছে। প্রতিটি ক্যানে 3টি করে টেনিস বল আছে। তার কাছে এখন কতগুলি টেনিস বল আছে?
X=11
প্রশ্ন: সার্ভার কক্ষে নয়টি কম্পিউটার ছিল। সোমবার থেকে বৃহস্পতিবার প্রতিদিন আরও পাঁচটি করে কম্পিউটার স্থাপন করা হয়েছিল। সার্ভার কক্ষে এখন কতগুলি কম্পিউটার আছে?
X=29
প্রশ্ন: লিয়ার 32টি চকোলেট ছিল এবং তার বোনের ছিল 42টি। যদি তারা 35টি খেয়ে থাকে, তাহলে তাদের কাছে মোট কতগুলি অবিশিষ্ট আছে?
X=39",Question: জেমস এক সপ্তাহে 3 বার 3টি স্প্রিন্টে দৌড়ানোর সিদ্ধান্ত নিয়েছেন। তিনি প্রতি স্প্রিন্টে 60 মিটার করে দৌড়ান। তিনি এক সপ্তাহে মোট কত মিটার করে দৌড়ান?,540,X=540,True,3,3,False
"ওয়েন্ডি প্রতিদিন তাঁর প্রত্যেকটি মুরগিকে সুস্থ রাখার জন্য তিন কাপ করে মুরগির খাবারের মিশ্রণ খাওয়ান যাতে দানা, মিলওয়ার্ম এবং সব্জি থাকে। তিনি মুরগিদের তিনবারে আলাদা-আলাদা করে খাবার দেন। সকালে, তিনি মুরগির ঝাঁককে 15 কাপ খাবার দেন। বিকেলে, মুরগিদের তিনি আরও 25 কাপ খাবার দেন। ওয়েন্ডির মুরগির ঝাঁকে যদি 20টি মুরগি থাকে তাহলে মুরগিদের দিনের শেষ খাবার খাওয়ানোর জন্য তাঁকে কত কাপ খাবার দিতে হবে?",4,"Follow the given examples and answer the question. Give only a final answer in the format X={numeric answer}. Do not include any other text in your response also don't include any textual or symbolic words beside the numeric answer. Here are the examples:
প্রশ্ন: রজারের 5টি টেনিস বল আছে। সে আরও 2 ক্যান টেনিস বল কিনেছে। প্রতিটি ক্যানে 3টি করে টেনিস বল আছে। তার কাছে এখন কতগুলি টেনিস বল আছে?
X=11
প্রশ্ন: সার্ভার কক্ষে নয়টি কম্পিউটার ছিল। সোমবার থেকে বৃহস্পতিবার প্রতিদিন আরও পাঁচটি করে কম্পিউটার স্থাপন করা হয়েছিল। সার্ভার কক্ষে এখন কতগুলি কম্পিউটার আছে?
X=29
প্রশ্ন: লিয়ার 32টি চকোলেট ছিল এবং তার বোনের ছিল 42টি। যদি তারা 35টি খেয়ে থাকে, তাহলে তাদের কাছে মোট কতগুলি অবিশিষ্ট আছে?
X=39","Question: ওয়েন্ডি প্রতিদিন তাঁর প্রত্যেকটি মুরগিকে সুস্থ রাখার জন্য তিন কাপ করে মুরগির খাবারের মিশ্রণ খাওয়ান যাতে দানা, মিলওয়ার্ম এবং সব্জি থাকে। তিনি মুরগিদের তিনবারে আলাদা-আলাদা করে খাবার দেন। সকালে, তিনি মুরগির ঝাঁককে 15 কাপ খাবার দেন। বিকেলে, মুরগিদের তিনি আরও 25 কাপ খাবার দেন। ওয়েন্ডির মুরগির ঝাঁকে যদি 20টি মুরগি থাকে তাহলে মুরগিদের দিনের শেষ খাবার খাওয়ানোর জন্য তাঁকে কত কাপ খাবার দিতে হবে?",20,X=60,False,3,3,False
"কাইলার তাঁর নতুন অ্যাপার্টমেন্টের জন্য কাঁচ কিনতে দোকানে গিয়েছিলেন। একটি কাঁচের দাম $5, কিন্তু প্রতি দ্বিতীয় গ্লাসের জন্য দাম হয় মূল্যের 60% মাত্র। কাইলার 16টি কাঁচ কিনতে চান। এগুলির জন্য তাঁকে কত ডলার অর্থপ্রদান করতে হবে?",5,"Follow the given examples and answer the question. Give only a final answer in the format X={numeric answer}. Do not include any other text in your response also don't include any textual or symbolic words beside the numeric answer. Here are the examples:
প্রশ্ন: রজারের 5টি টেনিস বল আছে। সে আরও 2 ক্যান টেনিস বল কিনেছে। প্রতিটি ক্যানে 3টি করে টেনিস বল আছে। তার কাছে এখন কতগুলি টেনিস বল আছে?
X=11
প্রশ্ন: সার্ভার কক্ষে নয়টি কম্পিউটার ছিল। সোমবার থেকে বৃহস্পতিবার প্রতিদিন আরও পাঁচটি করে কম্পিউটার স্থাপন করা হয়েছিল। সার্ভার কক্ষে এখন কতগুলি কম্পিউটার আছে?
X=29
প্রশ্ন: লিয়ার 32টি চকোলেট ছিল এবং তার বোনের ছিল 42টি। যদি তারা 35টি খেয়ে থাকে, তাহলে তাদের কাছে মোট কতগুলি অবিশিষ্ট আছে?
X=39","Question: কাইলার তাঁর নতুন অ্যাপার্টমেন্টের জন্য কাঁচ কিনতে দোকানে গিয়েছিলেন। একটি কাঁচের দাম $5, কিন্তু প্রতি দ্বিতীয় গ্লাসের জন্য দাম হয় মূল্যের 60% মাত্র। কাইলার 16টি কাঁচ কিনতে চান। এগুলির জন্য তাঁকে কত ডলার অর্থপ্রদান করতে হবে?",64,X=48,False,3,3,False
"টুলুজের কাছে চার্লস্টনের থেকে দুইগুণ বেশি ভেড়া রয়েছে। চার্লস্টনের কাছে সিয়াটলের থেকে 4গুণ বেশি ভেড়া রয়েছে। যদি সিয়াটলের কাছে 20টি ভেড়া থাকে তাহলে টুলুজ, চার্লস্টন এবং সিয়াটলের কাছে সর্বমোট কতগুলি করে ভেড়া আছে?",6,"Follow the given examples and answer the question. Give only a final answer in the format X={numeric answer}. Do not include any other text in your response also don't include any textual or symbolic words beside the numeric answer. Here are the examples:
প্রশ্ন: রজারের 5টি টেনিস বল আছে। সে আরও 2 ক্যান টেনিস বল কিনেছে। প্রতিটি ক্যানে 3টি করে টেনিস বল আছে। তার কাছে এখন কতগুলি টেনিস বল আছে?
X=11
প্রশ্ন: সার্ভার কক্ষে নয়টি কম্পিউটার ছিল। সোমবার থেকে বৃহস্পতিবার প্রতিদিন আরও পাঁচটি করে কম্পিউটার স্থাপন করা হয়েছিল। সার্ভার কক্ষে এখন কতগুলি কম্পিউটার আছে?
X=29
প্রশ্ন: লিয়ার 32টি চকোলেট ছিল এবং তার বোনের ছিল 42টি। যদি তারা 35টি খেয়ে থাকে, তাহলে তাদের কাছে মোট কতগুলি অবিশিষ্ট আছে?
X=39","Question: টুলুজের কাছে চার্লস্টনের থেকে দুইগুণ বেশি ভেড়া রয়েছে। চার্লস্টনের কাছে সিয়াটলের থেকে 4গুণ বেশি ভেড়া রয়েছে। যদি সিয়াটলের কাছে 20টি ভেড়া থাকে তাহলে টুলুজ, চার্লস্টন এবং সিয়াটলের কাছে সর্বমোট কতগুলি করে ভেড়া আছে?",260,X=108,False,3,3,False
"কার্লা 200 GB-এর একটি ফাইল ডাউনলোড করছেন। সাধারণত তিনি 2 GB/মিনিট হিসেবে ডাউনলোড করতে পারেন, কিন্তু 40% ডাউনলোড হওয়ার পরে, Windows আপডেট ইনস্টল করার জন্য রিস্টার্ট হতে শুরু করে, যা 20 মিনিট সময় নেয়। এরপর কার্লাকে ডাউনলোডটিকে পুনরায় শুরু করতে হয়। ফাইলটি ডাউনলোড করার জন্য কতটা লোড লাগবে?",7,"Follow the given examples and answer the question. Give only a final answer in the format X={numeric answer}. Do not include any other text in your response also don't include any textual or symbolic words beside the numeric answer. Here are the examples:
প্রশ্ন: রজারের 5টি টেনিস বল আছে। সে আরও 2 ক্যান টেনিস বল কিনেছে। প্রতিটি ক্যানে 3টি করে টেনিস বল আছে। তার কাছে এখন কতগুলি টেনিস বল আছে?
X=11
প্রশ্ন: সার্ভার কক্ষে নয়টি কম্পিউটার ছিল। সোমবার থেকে বৃহস্পতিবার প্রতিদিন আরও পাঁচটি করে কম্পিউটার স্থাপন করা হয়েছিল। সার্ভার কক্ষে এখন কতগুলি কম্পিউটার আছে?
X=29
প্রশ্ন: লিয়ার 32টি চকোলেট ছিল এবং তার বোনের ছিল 42টি। যদি তারা 35টি খেয়ে থাকে, তাহলে তাদের কাছে মোট কতগুলি অবিশিষ্ট আছে?
X=39","Question: কার্লা 200 GB-এর একটি ফাইল ডাউনলোড করছেন। সাধারণত তিনি 2 GB/মিনিট হিসেবে ডাউনলোড করতে পারেন, কিন্তু 40% ডাউনলোড হওয়ার পরে, Windows আপডেট ইনস্টল করার জন্য রিস্টার্ট হতে শুরু করে, যা 20 মিনিট সময় নেয়। এরপর কার্লাকে ডাউনলোডটিকে পুনরায় শুরু করতে হয়। ফাইলটি ডাউনলোড করার জন্য কতটা লোড লাগবে?",160,X=180,False,3,3,False
"জন প্রতি ঘণ্টায় 60 মাইল বেগে 3 ঘণ্টা গাড়ি চালানোর পরে বুঝতে পারেন যে তিনি বাড়িতে গুরুত্বপূর্ণ কিছু ভুলে এসেছেন এবং তাই তিনি ফিরে যান। তিনি 4 ঘণ্টায় বাড়ি ফেরার চেষ্টা করেন কিন্তু প্রথম 2 ঘণ্টা তাঁর ট্রাফিক জ্যামে ব্যয় হয়ে যায়। পরবর্তী আধ-ঘণ্টা তিনি প্রতি ঘণ্টা 30 মাইল বেগে গাড়ি চালানোয় ব্যয় করেন, অবশিষ্ট 4 ঘণ্টায় তিনি প্রতি ঘণ্টা 80 মাইল বেগে গাড়ি চালাতে সক্ষম হন। 4 ঘণ্টার শেষে তিনি বাড়ি থেকে কতদূরে আছেন?",8,"Follow the given examples and answer the question. Give only a final answer in the format X={numeric answer}. Do not include any other text in your response also don't include any textual or symbolic words beside the numeric answer. Here are the examples:
প্রশ্ন: রজারের 5টি টেনিস বল আছে। সে আরও 2 ক্যান টেনিস বল কিনেছে। প্রতিটি ক্যানে 3টি করে টেনিস বল আছে। তার কাছে এখন কতগুলি টেনিস বল আছে?
X=11
প্রশ্ন: সার্ভার কক্ষে নয়টি কম্পিউটার ছিল। সোমবার থেকে বৃহস্পতিবার প্রতিদিন আরও পাঁচটি করে কম্পিউটার স্থাপন করা হয়েছিল। সার্ভার কক্ষে এখন কতগুলি কম্পিউটার আছে?
X=29
প্রশ্ন: লিয়ার 32টি চকোলেট ছিল এবং তার বোনের ছিল 42টি। যদি তারা 35টি খেয়ে থাকে, তাহলে তাদের কাছে মোট কতগুলি অবিশিষ্ট আছে?
X=39","Question: জন প্রতি ঘণ্টায় 60 মাইল বেগে 3 ঘণ্টা গাড়ি চালানোর পরে বুঝতে পারেন যে তিনি বাড়িতে গুরুত্বপূর্ণ কিছু ভুলে এসেছেন এবং তাই তিনি ফিরে যান। তিনি 4 ঘণ্টায় বাড়ি ফেরার চেষ্টা করেন কিন্তু প্রথম 2 ঘণ্টা তাঁর ট্রাফিক জ্যামে ব্যয় হয়ে যায়। পরবর্তী আধ-ঘণ্টা তিনি প্রতি ঘণ্টা 30 মাইল বেগে গাড়ি চালানোয় ব্যয় করেন, অবশিষ্ট 4 ঘণ্টায় তিনি প্রতি ঘণ্টা 80 মাইল বেগে গাড়ি চালাতে সক্ষম হন। 4 ঘণ্টার শেষে তিনি বাড়ি থেকে কতদূরে আছেন?",45,X=320,False,3,3,False
"প্রতি সপ্তাহে প্রথম 40 ঘণ্টা কাজ করার জন্য এলিজা প্রতি ঘণ্টায় $10 দরে কাজ করেন। অতিরিক্ত সময় কাজ করার জন্য তিনি তাঁর প্রতি ঘণ্টার নিয়মিত দরের 1.2 গুণ অর্থ পান। যদি এলিজা এই সপ্তাহে 45 ঘণ্টা কাজ করে থাকেন, তাহলে এই সপ্তাহে তাঁর উপার্জন কত?",9,"Follow the given examples and answer the question. Give only a final answer in the format X={numeric answer}. Do not include any other text in your response also don't include any textual or symbolic words beside the numeric answer. Here are the examples:
প্রশ্ন: রজারের 5টি টেনিস বল আছে। সে আরও 2 ক্যান টেনিস বল কিনেছে। প্রতিটি ক্যানে 3টি করে টেনিস বল আছে। তার কাছে এখন কতগুলি টেনিস বল আছে?
X=11
প্রশ্ন: সার্ভার কক্ষে নয়টি কম্পিউটার ছিল। সোমবার থেকে বৃহস্পতিবার প্রতিদিন আরও পাঁচটি করে কম্পিউটার স্থাপন করা হয়েছিল। সার্ভার কক্ষে এখন কতগুলি কম্পিউটার আছে?
X=29
প্রশ্ন: লিয়ার 32টি চকোলেট ছিল এবং তার বোনের ছিল 42টি। যদি তারা 35টি খেয়ে থাকে, তাহলে তাদের কাছে মোট কতগুলি অবিশিষ্ট আছে?
X=39","Question: প্রতি সপ্তাহে প্রথম 40 ঘণ্টা কাজ করার জন্য এলিজা প্রতি ঘণ্টায় $10 দরে কাজ করেন। অতিরিক্ত সময় কাজ করার জন্য তিনি তাঁর প্রতি ঘণ্টার নিয়মিত দরের 1.2 গুণ অর্থ পান। যদি এলিজা এই সপ্তাহে 45 ঘণ্টা কাজ করে থাকেন, তাহলে এই সপ্তাহে তাঁর উপার্জন কত?",460,X=540,False,3,3,False
"একটি নতুন প্রোগ্রাম প্রথম মাসে 60 বার ডাউনলোড করা হয়েছিল। দ্বিতীয় মাসে ডাউনলোডের সংখ্যা প্রথম মাসের ডাউনলোডের থেকে তিনগুণ বেশি ছিল, কিন্তু তারপর তৃতীয় মাসে তা 30% হ্রাস পেয়েছিল। তিন মাসে প্রোগ্রামটিকে মোট কতবার ডাউনলোড করা হয়েছিল?",10,"Follow the given examples and answer the question. Give only a final answer in the format X={numeric answer}. Do not include any other text in your response also don't include any textual or symbolic words beside the numeric answer. Here are the examples:
প্রশ্ন: রজারের 5টি টেনিস বল আছে। সে আরও 2 ক্যান টেনিস বল কিনেছে। প্রতিটি ক্যানে 3টি করে টেনিস বল আছে। তার কাছে এখন কতগুলি টেনিস বল আছে?
X=11
প্রশ্ন: সার্ভার কক্ষে নয়টি কম্পিউটার ছিল। সোমবার থেকে বৃহস্পতিবার প্রতিদিন আরও পাঁচটি করে কম্পিউটার স্থাপন করা হয়েছিল। সার্ভার কক্ষে এখন কতগুলি কম্পিউটার আছে?
X=29
প্রশ্ন: লিয়ার 32টি চকোলেট ছিল এবং তার বোনের ছিল 42টি। যদি তারা 35টি খেয়ে থাকে, তাহলে তাদের কাছে মোট কতগুলি অবিশিষ্ট আছে?
X=39","Question: একটি নতুন প্রোগ্রাম প্রথম মাসে 60 বার ডাউনলোড করা হয়েছিল। দ্বিতীয় মাসে ডাউনলোডের সংখ্যা প্রথম মাসের ডাউনলোডের থেকে তিনগুণ বেশি ছিল, কিন্তু তারপর তৃতীয় মাসে তা 30% হ্রাস পেয়েছিল। তিন মাসে প্রোগ্রামটিকে মোট কতবার ডাউনলোড করা হয়েছিল?",366,X= 84,False,4,4,False
