question,question_idx,system_prompt,user_prompt,answer_number,model_answer,model correct,answer_n_token_3.5,answer_n_token_4o,is_fucked
Bata wa Janet hutaga mayai 16 kila siku. Huwa anakula matatu wakati wa staftahi kila asubuhi na huokea marafiki zake mafini kila siku kwa mayai manne. Huwa anauza yaliyosalia katika soko la wakulima kila siku kwa $2 kwa kila yai la bata. Huwa anatengeneza pesa ngapi katika dola kila siku katika soko la wakulima?,0,,Bata wa Janet hutaga mayai 16 kila siku. Huwa anakula matatu wakati wa staftahi kila asubuhi na huokea marafiki zake mafini kila siku kwa mayai manne. Huwa anauza yaliyosalia katika soko la wakulima kila siku kwa $2 kwa kila yai la bata. Huwa anatengeneza pesa ngapi katika dola kila siku katika soko la wakulima?,18,"Janet hutaga mayai 16 kila siku. Kati ya haya mayai 16, anakula matatu wakati wa staftahi na huokea mafini kwa mayai manne. Hii inamaanisha:

Mayai yanayotumika kwa staftahi: 3
Mayai yanayotumika kwa mafini: 4

Jumla ya mayai yanayotumika kila siku: 3 + 4 = 7

Mayai yanayosalia kwa ajili ya kuuza sokoni:
16 - 7 = 9

Janet huuza mayai haya 9 sokoni kwa $2 kwa kila yai. Kwa hivyo, mapato yake ya kila siku kutoka kwa kuuza mayai sokoni ni:

9 mayai * $2 kwa kila yai = $18

Kwa hivyo, Janet hutengeneza $18 kila siku katika soko la wakulima.",True,230,186,False
Joho hutumia komeo 2 za ufumwele wa buluu na nusu ya kiasi hicho cha ufumwele mweupe. Huwa inatumia jumla ya komeo ngapi?,1,,Joho hutumia komeo 2 za ufumwele wa buluu na nusu ya kiasi hicho cha ufumwele mweupe. Huwa inatumia jumla ya komeo ngapi?,3,"Joho hutumia komeo 2 za ufumwele wa buluu na nusu ya kiasi hicho cha ufumwele mweupe. Hii ina maana kwamba:

- Komeo za ufumwele wa buluu = 2
- Komeo za ufumwele mweupe = 2 / 2 = 1

Kwa hivyo, jumla ya komeo zinazotumiwa ni:
2 (za buluu) + 1 (za mweupe) = 3

Kwa hiyo, joho hutumia jumla ya komeo 3.",True,142,118,False
"Josha anaamua kujaribu kununua nyumba na kuuza kwa faida. Ananunua nyumba kwa $80,000 na kutumia $50,000 kuikarabati. Hii iliongeza thamani ya nyumba hiyo kwa 150%. Alipata faida ya kiasi gani?",2,,"Josha anaamua kujaribu kununua nyumba na kuuza kwa faida. Ananunua nyumba kwa $80,000 na kutumia $50,000 kuikarabati. Hii iliongeza thamani ya nyumba hiyo kwa 150%. Alipata faida ya kiasi gani?",70000,"Ili kuhesabu faida ambayo Josha alipata, tunahitaji kufuata hatua zifuatazo:

1. Kwanza, tuhesabu gharama ya jumla ya kununua na kukarabati nyumba:
   - Gharama ya kununua nyumba: $80,000
   - Gharama ya ukarabati: $50,000
   - Gharama ya jumla: $80,000 + $50,000 = $130,000

2. Pili, tuhesabu thamani mpya ya nyumba baada ya ukarabati:
   - Thamani ya awali ya nyumba: $80,000
   - Ongezeko la thamani: 150% ya thamani ya awali
   - Ongezeko la thamani kwa namba: 150% ya $80,000 = 1.5 * $80,000 = $120,000
   - Thamani mpya ya nyumba: Thamani ya awali + Ongezeko la thamani = $80,000 + $120,000 = $200,000

3. Mwisho, tuhesabu faida:
   - Thamani mpya ya nyumba: $200,000
   - Gharama ya jumla: $130,000
   - Faida: Thamani mpya - Gharama ya jumla = $200,000 - $130,000 = $70,000

Kwa hivyo, Josha alipata faida ya $70,000.",True,365,310,False
James anaamua kukimbia mbio 3 fupi mara 3 kwa wiki. Anakimbia mita 60 kwa kila mbio fupi. Huwa anakimbia jumla ya mita ngapi kwa wiki?,3,,James anaamua kukimbia mbio 3 fupi mara 3 kwa wiki. Anakimbia mita 60 kwa kila mbio fupi. Huwa anakimbia jumla ya mita ngapi kwa wiki?,540,"James anakimbia mbio fupi mara 3 kwa wiki, na kila mbio fupi ni mita 60. Ili kupata jumla ya mita anazokimbia kwa wiki, tunahitaji kuzidisha idadi ya mbio fupi kwa wiki na urefu wa kila mbio fupi.

Hivyo, hesabu ni kama ifuatavyo:
3 (mbio fupi kwa wiki) x 60 (mita kwa kila mbio fupi) = 180 mita kwa wiki.

Kwa hiyo, James anakimbia jumla ya mita 180 kwa wiki.",False,153,118,False
"Kila siku, Wendi hulisha kila mmoja kati ya kuku wake vikombe vitatu vya chakula mseto cha kuku, kilicho na mbegu, wadudu na mboga ili kusaidia kudumisha afya yao nzuri. Yeye hupatia kuku hao chakula chao katika milo mitatu tofauti. Asubuhi, huwapa kuku wake vikombe 15 vya chakula. Mchana, huwapa kuku wake vikombe vingine 25 vya chakula. Anahitaji kuwapa kuku wake vikombe vingapi vya chakula katika mlo wa mwisho wa siku iwapo idadi ya kuku wa Wendi ni kuku 20?",4,,"Kila siku, Wendi hulisha kila mmoja kati ya kuku wake vikombe vitatu vya chakula mseto cha kuku, kilicho na mbegu, wadudu na mboga ili kusaidia kudumisha afya yao nzuri. Yeye hupatia kuku hao chakula chao katika milo mitatu tofauti. Asubuhi, huwapa kuku wake vikombe 15 vya chakula. Mchana, huwapa kuku wake vikombe vingine 25 vya chakula. Anahitaji kuwapa kuku wake vikombe vingapi vya chakula katika mlo wa mwisho wa siku iwapo idadi ya kuku wa Wendi ni kuku 20?",20,"Ili kujua ni vikombe vingapi vya chakula Wendi anahitaji kuwapa kuku wake katika mlo wa mwisho wa siku, tunahitaji kwanza kujua ni jumla ya vikombe vya chakula anavyohitaji kwa siku nzima kwa kuku wake wote.

Kila kuku mmoja anahitaji vikombe 3 vya chakula kwa siku. Kwa kuwa Wendi ana kuku 20, tutazidisha idadi ya kuku na kiasi cha chakula anachohitaji kila kuku:

\[ 20 \, \text{kuku} \times 3 \, \text{vikombe/kuku} = 60 \, \text{vikombe} \]

Kwa hivyo, Wendi anahitaji vikombe 60 vya chakula kwa siku nzima kwa kuku wake wote.

Sasa, tutaangalia ni vikombe vingapi vya chakula tayari amewapa kuku wake katika milo miwili ya kwanza:

Asubuhi: 15 vikombe
Mchana: 25 vikombe

Jumla ya vikombe vya chakula alivyowapa kuku wake asubuhi na mchana ni:

\[ 15 \, \text{vikombe} + 25 \, \text{vikombe} = 40 \, \text{vikombe} \]

Kwa kuwa anahitaji kuwapa kuku wake jumla ya vikombe 60 kwa siku, tutapunguza vikombe 40 alivyowapa tayari kutoka kwenye jumla ya mahitaji ya siku nzima:

\[ 60 \, \text{vikombe} - 40 \, \text{vikombe} = 20 \, \text{vikombe} \]

Kwa hivyo, Wendi anahitaji kuwapa kuku wake vikombe 20 vya chakula katika mlo wa mwisho wa siku.",True,502,368,False
"Kylar alienda kwa duka kununua vioo vya jengo lake jipya. Kioo kimoja kinagharimu $5, lakini kila kioo cha pili kinagharimu 60% pekee ya bei. Kylar anataka kununua vioo 16. Anahitaji kulipa pesa ngapi kwa vioo hivyo?",5,,"Kylar alienda kwa duka kununua vioo vya jengo lake jipya. Kioo kimoja kinagharimu $5, lakini kila kioo cha pili kinagharimu 60% pekee ya bei. Kylar anataka kununua vioo 16. Anahitaji kulipa pesa ngapi kwa vioo hivyo?",64,"Ili kuhesabu kiasi cha pesa ambacho Kylar anahitaji kulipa kwa vioo 16, tunahitaji kuzingatia bei ya kila kioo na punguzo linalotolewa kwa kila kioo cha pili.

1. Bei ya kioo kimoja ni $5.
2. Bei ya kila kioo cha pili ni 60% ya $5, ambayo ni:
   \[
   0.60 \times 5 = $3
   \]

Kwa hivyo, vioo 16 vinaweza kugawanywa katika jozi 8 (kwa sababu 16 ÷ 2 = 8). Kila jozi ina kioo kimoja cha bei ya kawaida ($5) na kioo kimoja cha bei ya punguzo ($3).

3. Gharama ya jozi moja ya vioo ni:
   \[
   5 + 3 = $8
   \]

4. Kwa kuwa kuna jozi 8, gharama ya jumla ya vioo 16 ni:
   \[
   8 \times 8 = $64
   \]

Kwa hivyo, Kylar anahitaji kulipa $64 kwa vioo 16.",False,306,251,False
"Toulouse lina kondoo mara mbili ya idadi ya kondoo katika Charleston. Charleston lina kondoo mara 4 ya idadi ya kondoo katika Seattle. Majiji ya Toulouse, Charleston, na Seattle yana jumla ya kondoo wangapi kwa pamoja iwapo Seattle lina kondoo 20?",6,,"Toulouse lina kondoo mara mbili ya idadi ya kondoo katika Charleston. Charleston lina kondoo mara 4 ya idadi ya kondoo katika Seattle. Majiji ya Toulouse, Charleston, na Seattle yana jumla ya kondoo wangapi kwa pamoja iwapo Seattle lina kondoo 20?",260,"Tuanze kwa kuhesabu idadi ya kondoo katika kila jiji kwa kutumia taarifa zilizotolewa.

1. Seattle lina kondoo 20.
2. Charleston lina kondoo mara 4 ya idadi ya kondoo katika Seattle.
   \[
   \text{Idadi ya kondoo Charleston} = 4 \times 20 = 80
   \]
3. Toulouse lina kondoo mara mbili ya idadi ya kondoo katika Charleston.
   \[
   \text{Idadi ya kondoo Toulouse} = 2 \times 80 = 160
   \]

Sasa, tujumlishe idadi ya kondoo katika majiji yote matatu:
\[
\text{Jumla ya kondoo} = \text{Idadi ya kondoo Seattle} + \text{Idadi ya kondoo Charleston} + \text{Idadi ya kondoo Toulouse}
\]
\[
\text{Jumla ya kondoo} = 20 + 80 + 160 = 260
\]

Kwa hivyo, majiji ya Toulouse, Charleston, na Seattle yana jumla ya kondoo 260 kwa pamoja.",True,275,239,False
"Carla anapakua faili ya GB 200. Kwa kawaida anaweza kupakua GB 2 kila dakika, lakini akiwa 40% ya upakuaji, Windows hulazimisha kuanza upya ili kupakia visasisho, na huchukua dakika 20. Kisha Carla ni lazima aanze tena kupakua kuanzia mwanzoni. Itamchukua muda gani kupakuafaili hiyo?",7,,"Carla anapakua faili ya GB 200. Kwa kawaida anaweza kupakua GB 2 kila dakika, lakini akiwa 40% ya upakuaji, Windows hulazimisha kuanza upya ili kupakia visasisho, na huchukua dakika 20. Kisha Carla ni lazima aanze tena kupakua kuanzia mwanzoni. Itamchukua muda gani kupakuafaili hiyo?",160,"Ili kuhesabu muda ambao Carla atachukua kupakua faili ya GB 200, tunahitaji kuzingatia hatua zote za upakuaji na upya wa kompyuta.

1. **Kipindi cha kwanza cha upakuaji:**
   - Carla anapakua kwa kasi ya GB 2 kwa dakika.
   - Akiwa amepakua 40%, Windows inamlazimisha kuanza upya.
   - 40% ya GB 200 ni GB 80.
   - Ili kupakua GB 80 kwa kasi ya GB 2 kwa dakika, itachukua:
     \[
     \frac{80 \text{ GB}}{2 \text{ GB/min}} = 40 \text{ dakika}
     \]

2. **Kuanza upya kwa kompyuta:**
   - Windows inachukua dakika 20 kuanza upya.

3. **Kipindi cha pili cha upakuaji:**
   - Carla anaanza tena kupakua kutoka mwanzo.
   - Ili kupakua GB 200 kwa kasi ya GB 2 kwa dakika, itachukua:
     \[
     \frac{200 \text{ GB}}{2 \text{ GB/min}} = 100 \text{ dakika}
     \]

Sasa, tunaweza kujumlisha muda wote:

- Kipindi cha kwanza cha upakuaji: 40 dakika
- Kuanza upya kwa kompyuta: 20 dakika
- Kipindi cha pili cha upakuaji: 100 dakika

Jumla ya muda ni:
\[
40 \text{ dakika} + 20 \text{ dakika} + 100 \text{ dakika} = 160 \text{ dakika}
\]

Kwa hivyo, itamchukua Carla jumla ya dakika 160 kupakua faili hiyo ya GB 200.",False,456,389,False
"John huendesha kwa saa 3 kwa kasi ya maili 60 kwa kila saa na kisha kugeuka kwa sababu anagundua kuwa amesahau kitu muhimu sana nyumbani. Anajaribu kurudi nyumbani kwa saa 4 lakini anatumia saa 2 za kwanza katika trafiki isiyosonga. Anatumia nusu saa inayofuata akiendesha kwa kasi ya maili 30 kwa kila saa, kabla ya kuweza kuendesha muda unaosalia kwa saa 4 katika kasi ya maili 80 kwa saa. Yuko umbali upi kutoka nyumbani mwishoni mwa saa hizo 4?",8,,"John huendesha kwa saa 3 kwa kasi ya maili 60 kwa kila saa na kisha kugeuka kwa sababu anagundua kuwa amesahau kitu muhimu sana nyumbani. Anajaribu kurudi nyumbani kwa saa 4 lakini anatumia saa 2 za kwanza katika trafiki isiyosonga. Anatumia nusu saa inayofuata akiendesha kwa kasi ya maili 30 kwa kila saa, kabla ya kuweza kuendesha muda unaosalia kwa saa 4 katika kasi ya maili 80 kwa saa. Yuko umbali upi kutoka nyumbani mwishoni mwa saa hizo 4?",45,"Ili kujua umbali ambao John yuko kutoka nyumbani mwishoni mwa saa hizo 4, tutachambua safari yake kwa hatua.

1. **Safari ya kwenda:**
   - John anaendesha kwa saa 3 kwa kasi ya maili 60 kwa kila saa.
   - Umbali aliotembea ni: 
     \[
     \text{Umbali} = \text{Kasi} \times \text{Muda} = 60 \, \text{maili/saa} \times 3 \, \text{saa} = 180 \, \text{maili}
     \]

2. **Safari ya kurudi:**
   - John anajaribu kurudi nyumbani kwa saa 4.
   - Saa 2 za kwanza yuko kwenye trafiki isiyosonga, hivyo hajatembea umbali wowote.
   - Nusu saa inayofuata anaendesha kwa kasi ya maili 30 kwa kila saa:
     \[
     \text{Umbali} = 30 \, \text{maili/saa} \times 0.5 \, \text{saa} = 15 \, \text{maili}
     \]
   - Muda unaosalia ni saa 1.5 (4 - 2.5) na anaendesha kwa kasi ya maili 80 kwa kila saa:
     \[
     \text{Umbali} = 80 \, \text{maili/saa} \times 1.5 \, \text{saa} = 120 \, \text{maili}
     \]

3. **Jumla ya umbali aliotembea kurudi:**
   - Jumla ya umbali aliotembea kurudi ni:
     \[
     15 \, \text{maili} + 120 \, \text{maili} = 135 \, \text{maili}
     \]

4. **Umbali kutoka nyumbani:**
   - John alikuwa ameenda umbali wa maili 180 kutoka nyumbani.
   - Amefanikiwa kurudi maili 135.
   - Kwa hivyo, umbali ambao John yuko kutoka nyumbani ni:
     \[
     180 \, \text{maili} - 135 \, \text{maili} = 45 \, \text{maili}
     \]

Mwisho wa saa hizo 4, John yuko umbali wa maili 45 kutoka nyumbani.",True,604,529,False
"Kiwango cha Eliza kila saa kwa saa 40 za kwanza anazofanya kazi kila wiki ni $10. Pia anapokea malipo ya muda wa ziada ya mara 1.2 ya malipo yake ya kawaida ya saa. Iwapo Eliza alifanya kazi kwa saa 45 wiki hii, mapato yake ya wiki hii ni ngapi?",9,,"Kiwango cha Eliza kila saa kwa saa 40 za kwanza anazofanya kazi kila wiki ni $10. Pia anapokea malipo ya muda wa ziada ya mara 1.2 ya malipo yake ya kawaida ya saa. Iwapo Eliza alifanya kazi kwa saa 45 wiki hii, mapato yake ya wiki hii ni ngapi?",460,"Ili kuhesabu mapato ya Eliza kwa wiki hii, tunahitaji kufuata hatua zifuatazo:

1. Kwanza, tutahesabu mapato yake kwa saa 40 za kwanza.
2. Kisha, tutahesabu mapato yake kwa saa za ziada (saa 5 za ziada).
3. Hatimaye, tutajumlisha mapato ya saa za kawaida na saa za ziada.

**Hatua ya 1: Mapato kwa saa 40 za kwanza**
Kiwango cha malipo kwa saa ni $10.
Kwa saa 40, mapato yake yatakuwa:
\[ 40 \, \text{saa} \times $10/\text{saa} = $400 \]

**Hatua ya 2: Mapato kwa saa za ziada**
Eliza alifanya kazi kwa saa 45, kwa hivyo alifanya kazi za ziada kwa:
\[ 45 \, \text{saa} - 40 \, \text{saa} = 5 \, \text{saa za ziada} \]

Kiwango cha malipo ya saa za ziada ni mara 1.2 ya malipo ya kawaida ya saa:
\[ 1.2",False,307,255,False
