question,question_idx,system_prompt,user_prompt,answer_number,model_answer,model correct
"Les canes de Janet pondent 16 œufs par jour. Chaque matin, elle en mange trois au petit déjeuner et en utilise quatre autres pour préparer des muffins pour ses amis. Ce qui reste, elle le vend quotidiennement au marché fermier, au prix de 2 $ l'œuf de cane frais. Combien (en dollars) gagne-t-elle chaque jour au marché fermier ?",0,"Follow the given examples and answer the question. In your response, use step-by-step reasoning in en. The last sentence of the response must be in the format of - The answer is {final answer}. As examples:
For user's prompt -
Question : Roger a 5 balles de tennis. Il achète 2 autres boîtes de balles de tennis en plus. Si chaque boîte contient 3 balles de tennis, combien de balles de tennis a-t-il maintenant ?
assitant's repsonse should be - 
Step-by-Step Answer: Roger started with 5 balls. 2 cans of 3 tennis balls each is 6 tennis balls. 5 + 6 = 11. The answer is 11.
For user's prompt -
Question : Il y avait neuf ordinateurs dans la salle des serveurs. Cinq ordinateurs supplémentaires ont été installés chaque jour, du lundi au jeudi. Combien d'ordinateurs y a-t-il maintenant dans la salle des serveurs ?
assitant's repsonse should be - 
Step-by-Step Answer: There are 4 days from monday to thursday. 5 computers were added each day. That means in total 4 * 5 = 20 computers were added. There were 9 computers in the beginning, so now there are 9 + 20 = 29 computers. The answer is 29.
For user's prompt -
Question : Léa avait 32 chocolats et sa sœur en avait 42. Si elles en ont mangé 35, combien de morceaux leur reste-t-il en tout ?
assitant's repsonse should be - 
Step-by-Step Answer: Leah had 32 chocolates and Leah’s sister had 42. That means there were originally 32 + 42 = 74 chocolates. 35 have been eaten. So in total they still have 74 - 35 = 39 chocolates. The answer is 39.
","Question: Les canes de Janet pondent 16 œufs par jour. Chaque matin, elle en mange trois au petit déjeuner et en utilise quatre autres pour préparer des muffins pour ses amis. Ce qui reste, elle le vend quotidiennement au marché fermier, au prix de 2 $ l'œuf de cane frais. Combien (en dollars) gagne-t-elle chaque jour au marché fermier ?",18,"Step-by-Step Answer: Janet's ducks lay 16 eggs per day. She eats three eggs for breakfast and uses four eggs to make muffins for her friends. The remaining eggs are sold at the farmer's market for $2 each. 

So, the total number of eggs sold at the farmer's market is 16 - 3 - 4 = 9 eggs. 

Therefore, Janet earns 9 * $2 = $18 each day at the farmer's market. 

The answer is $18.",True
Une robe nécessite 2 rouleaux de fibre bleue et la moitié de cette quantité en fibre blanche. Combien faut-il de rouleaux au total ?,1,"Follow the given examples and answer the question. In your response, use step-by-step reasoning in en. The last sentence of the response must be in the format of - The answer is {final answer}. As examples:
For user's prompt -
Question : Roger a 5 balles de tennis. Il achète 2 autres boîtes de balles de tennis en plus. Si chaque boîte contient 3 balles de tennis, combien de balles de tennis a-t-il maintenant ?
assitant's repsonse should be - 
Step-by-Step Answer: Roger started with 5 balls. 2 cans of 3 tennis balls each is 6 tennis balls. 5 + 6 = 11. The answer is 11.
For user's prompt -
Question : Il y avait neuf ordinateurs dans la salle des serveurs. Cinq ordinateurs supplémentaires ont été installés chaque jour, du lundi au jeudi. Combien d'ordinateurs y a-t-il maintenant dans la salle des serveurs ?
assitant's repsonse should be - 
Step-by-Step Answer: There are 4 days from monday to thursday. 5 computers were added each day. That means in total 4 * 5 = 20 computers were added. There were 9 computers in the beginning, so now there are 9 + 20 = 29 computers. The answer is 29.
For user's prompt -
Question : Léa avait 32 chocolats et sa sœur en avait 42. Si elles en ont mangé 35, combien de morceaux leur reste-t-il en tout ?
assitant's repsonse should be - 
Step-by-Step Answer: Leah had 32 chocolates and Leah’s sister had 42. That means there were originally 32 + 42 = 74 chocolates. 35 have been eaten. So in total they still have 74 - 35 = 39 chocolates. The answer is 39.
",Question: Une robe nécessite 2 rouleaux de fibre bleue et la moitié de cette quantité en fibre blanche. Combien faut-il de rouleaux au total ?,3,"Step-by-Step Answer: 
La robe nécessite 2 rouleaux de fibre bleue. 
La moitié de cette quantité en fibre blanche serait 2/2 = 1 rouleau. 
Donc, au total, il faut 2 + 1 = 3 rouleaux. 
The answer is 3.",True
Josh se lance dans la rénovation d'une maison. Il en achète une au prix de 80 000 $ et investit 50 000 $ dans sa restauration. La valeur de la maison augmente alors de 150 %. Quel bénéfice a-t-il réalisé ?,2,"Follow the given examples and answer the question. In your response, use step-by-step reasoning in en. The last sentence of the response must be in the format of - The answer is {final answer}. As examples:
For user's prompt -
Question : Roger a 5 balles de tennis. Il achète 2 autres boîtes de balles de tennis en plus. Si chaque boîte contient 3 balles de tennis, combien de balles de tennis a-t-il maintenant ?
assitant's repsonse should be - 
Step-by-Step Answer: Roger started with 5 balls. 2 cans of 3 tennis balls each is 6 tennis balls. 5 + 6 = 11. The answer is 11.
For user's prompt -
Question : Il y avait neuf ordinateurs dans la salle des serveurs. Cinq ordinateurs supplémentaires ont été installés chaque jour, du lundi au jeudi. Combien d'ordinateurs y a-t-il maintenant dans la salle des serveurs ?
assitant's repsonse should be - 
Step-by-Step Answer: There are 4 days from monday to thursday. 5 computers were added each day. That means in total 4 * 5 = 20 computers were added. There were 9 computers in the beginning, so now there are 9 + 20 = 29 computers. The answer is 29.
For user's prompt -
Question : Léa avait 32 chocolats et sa sœur en avait 42. Si elles en ont mangé 35, combien de morceaux leur reste-t-il en tout ?
assitant's repsonse should be - 
Step-by-Step Answer: Leah had 32 chocolates and Leah’s sister had 42. That means there were originally 32 + 42 = 74 chocolates. 35 have been eaten. So in total they still have 74 - 35 = 39 chocolates. The answer is 39.
",Question: Josh se lance dans la rénovation d'une maison. Il en achète une au prix de 80 000 $ et investit 50 000 $ dans sa restauration. La valeur de la maison augmente alors de 150 %. Quel bénéfice a-t-il réalisé ?,70000,"Step-by-Step Answer: Josh bought the house for $80,000 and invested $50,000 in its restoration. The value of the house increased by 150%, which means it increased by 150/100 * $80,000 = $120,000. 

To calculate the profit, we need to subtract the total cost from the increased value of the house. The total cost is $80,000 + $50,000 = $130,000. 

So, the profit is $120,000 - $130,000 = -$10,000. 

The answer is -$10,000.",False
"Jacques fait des séries de 3 sprints 3 fois par semaine. Il court 60 mètres à chaque sprint. Au total, combien de mètres court-il par semaine ?",3,"Follow the given examples and answer the question. In your response, use step-by-step reasoning in en. The last sentence of the response must be in the format of - The answer is {final answer}. As examples:
For user's prompt -
Question : Roger a 5 balles de tennis. Il achète 2 autres boîtes de balles de tennis en plus. Si chaque boîte contient 3 balles de tennis, combien de balles de tennis a-t-il maintenant ?
assitant's repsonse should be - 
Step-by-Step Answer: Roger started with 5 balls. 2 cans of 3 tennis balls each is 6 tennis balls. 5 + 6 = 11. The answer is 11.
For user's prompt -
Question : Il y avait neuf ordinateurs dans la salle des serveurs. Cinq ordinateurs supplémentaires ont été installés chaque jour, du lundi au jeudi. Combien d'ordinateurs y a-t-il maintenant dans la salle des serveurs ?
assitant's repsonse should be - 
Step-by-Step Answer: There are 4 days from monday to thursday. 5 computers were added each day. That means in total 4 * 5 = 20 computers were added. There were 9 computers in the beginning, so now there are 9 + 20 = 29 computers. The answer is 29.
For user's prompt -
Question : Léa avait 32 chocolats et sa sœur en avait 42. Si elles en ont mangé 35, combien de morceaux leur reste-t-il en tout ?
assitant's repsonse should be - 
Step-by-Step Answer: Leah had 32 chocolates and Leah’s sister had 42. That means there were originally 32 + 42 = 74 chocolates. 35 have been eaten. So in total they still have 74 - 35 = 39 chocolates. The answer is 39.
","Question: Jacques fait des séries de 3 sprints 3 fois par semaine. Il court 60 mètres à chaque sprint. Au total, combien de mètres court-il par semaine ?",540,"Step-by-Step Answer: Jacques does 3 sprints per session, and he does this 3 times a week. So in total, he does 3 x 3 = 9 sprints per week.
Each sprint is 60 meters, so Jacques runs 60 x 9 = 540 meters per week.
The answer is 540.",True
"Pour garder ses poulets en bonne santé, Wendi leur donne chaque jour trois bols d'aliments mixtes contenant des graines, des vers de farine et des légumes. Elle les nourrit en trois repas séparés. Le matin, elle leur donne 15 bols d'aliments. L'après-midi, elle leur en donne 25 autres. Si son élevage compte 20 poulets, combien de bols de nourriture doit-elle leur donner pour le dernier repas de la journée ?",4,"Follow the given examples and answer the question. In your response, use step-by-step reasoning in en. The last sentence of the response must be in the format of - The answer is {final answer}. As examples:
For user's prompt -
Question : Roger a 5 balles de tennis. Il achète 2 autres boîtes de balles de tennis en plus. Si chaque boîte contient 3 balles de tennis, combien de balles de tennis a-t-il maintenant ?
assitant's repsonse should be - 
Step-by-Step Answer: Roger started with 5 balls. 2 cans of 3 tennis balls each is 6 tennis balls. 5 + 6 = 11. The answer is 11.
For user's prompt -
Question : Il y avait neuf ordinateurs dans la salle des serveurs. Cinq ordinateurs supplémentaires ont été installés chaque jour, du lundi au jeudi. Combien d'ordinateurs y a-t-il maintenant dans la salle des serveurs ?
assitant's repsonse should be - 
Step-by-Step Answer: There are 4 days from monday to thursday. 5 computers were added each day. That means in total 4 * 5 = 20 computers were added. There were 9 computers in the beginning, so now there are 9 + 20 = 29 computers. The answer is 29.
For user's prompt -
Question : Léa avait 32 chocolats et sa sœur en avait 42. Si elles en ont mangé 35, combien de morceaux leur reste-t-il en tout ?
assitant's repsonse should be - 
Step-by-Step Answer: Leah had 32 chocolates and Leah’s sister had 42. That means there were originally 32 + 42 = 74 chocolates. 35 have been eaten. So in total they still have 74 - 35 = 39 chocolates. The answer is 39.
","Question: Pour garder ses poulets en bonne santé, Wendi leur donne chaque jour trois bols d'aliments mixtes contenant des graines, des vers de farine et des légumes. Elle les nourrit en trois repas séparés. Le matin, elle leur donne 15 bols d'aliments. L'après-midi, elle leur en donne 25 autres. Si son élevage compte 20 poulets, combien de bols de nourriture doit-elle leur donner pour le dernier repas de la journée ?",20,"Step-by-Step Answer: Wendi gives her chickens 3 bowls of mixed food each day, divided into 3 separate meals. In the morning, she gives them 15 bowls of food. In the afternoon, she gives them another 25 bowls. So far, she has given them a total of 15 + 25 = 40 bowls of food. 

Since she has 20 chickens, each chicken needs 1 bowl of food for the last meal of the day. Therefore, Wendi needs to give them a total of 20 bowls of food for the last meal of the day. 

The answer is 20.",True
"Kylar se rend au magasin afin d'acheter des verres pour son nouvel appartement. Un verre coûte 5 $, mais chaque deuxième verre ne coûte que 60 % du prix. Kylar veut acheter 16 verres. Combien devra-t-il payer pour les acheter ?",5,"Follow the given examples and answer the question. In your response, use step-by-step reasoning in en. The last sentence of the response must be in the format of - The answer is {final answer}. As examples:
For user's prompt -
Question : Roger a 5 balles de tennis. Il achète 2 autres boîtes de balles de tennis en plus. Si chaque boîte contient 3 balles de tennis, combien de balles de tennis a-t-il maintenant ?
assitant's repsonse should be - 
Step-by-Step Answer: Roger started with 5 balls. 2 cans of 3 tennis balls each is 6 tennis balls. 5 + 6 = 11. The answer is 11.
For user's prompt -
Question : Il y avait neuf ordinateurs dans la salle des serveurs. Cinq ordinateurs supplémentaires ont été installés chaque jour, du lundi au jeudi. Combien d'ordinateurs y a-t-il maintenant dans la salle des serveurs ?
assitant's repsonse should be - 
Step-by-Step Answer: There are 4 days from monday to thursday. 5 computers were added each day. That means in total 4 * 5 = 20 computers were added. There were 9 computers in the beginning, so now there are 9 + 20 = 29 computers. The answer is 29.
For user's prompt -
Question : Léa avait 32 chocolats et sa sœur en avait 42. Si elles en ont mangé 35, combien de morceaux leur reste-t-il en tout ?
assitant's repsonse should be - 
Step-by-Step Answer: Leah had 32 chocolates and Leah’s sister had 42. That means there were originally 32 + 42 = 74 chocolates. 35 have been eaten. So in total they still have 74 - 35 = 39 chocolates. The answer is 39.
","Question: Kylar se rend au magasin afin d'acheter des verres pour son nouvel appartement. Un verre coûte 5 $, mais chaque deuxième verre ne coûte que 60 % du prix. Kylar veut acheter 16 verres. Combien devra-t-il payer pour les acheter ?",64,"Step-by-Step Answer: 
Kylar wants to buy 16 glasses. The first glass costs $5. 
For every second glass, the price is 60% of the original price, which is 0.6 * $5 = $3. 
So, out of the 16 glasses, half of them will cost $5 and the other half will cost $3. 
Half of 16 is 8, so Kylar will pay for 8 glasses at $5 each and 8 glasses at $3 each. 
The total cost will be 8 * $5 + 8 * $3 = $40 + $24 = $64. 
Therefore, Kylar will have to pay $64 to buy the glasses. 
The answer is $64.",True
"Toulouse a deux fois plus de moutons que Charleston. Charleston en a 4 fois plus que Seattle. Si Seattle a 20 moutons, combien de moutons Toulouse, Charleston et Seattle ont-ils au total ?",6,"Follow the given examples and answer the question. In your response, use step-by-step reasoning in en. The last sentence of the response must be in the format of - The answer is {final answer}. As examples:
For user's prompt -
Question : Roger a 5 balles de tennis. Il achète 2 autres boîtes de balles de tennis en plus. Si chaque boîte contient 3 balles de tennis, combien de balles de tennis a-t-il maintenant ?
assitant's repsonse should be - 
Step-by-Step Answer: Roger started with 5 balls. 2 cans of 3 tennis balls each is 6 tennis balls. 5 + 6 = 11. The answer is 11.
For user's prompt -
Question : Il y avait neuf ordinateurs dans la salle des serveurs. Cinq ordinateurs supplémentaires ont été installés chaque jour, du lundi au jeudi. Combien d'ordinateurs y a-t-il maintenant dans la salle des serveurs ?
assitant's repsonse should be - 
Step-by-Step Answer: There are 4 days from monday to thursday. 5 computers were added each day. That means in total 4 * 5 = 20 computers were added. There were 9 computers in the beginning, so now there are 9 + 20 = 29 computers. The answer is 29.
For user's prompt -
Question : Léa avait 32 chocolats et sa sœur en avait 42. Si elles en ont mangé 35, combien de morceaux leur reste-t-il en tout ?
assitant's repsonse should be - 
Step-by-Step Answer: Leah had 32 chocolates and Leah’s sister had 42. That means there were originally 32 + 42 = 74 chocolates. 35 have been eaten. So in total they still have 74 - 35 = 39 chocolates. The answer is 39.
","Question: Toulouse a deux fois plus de moutons que Charleston. Charleston en a 4 fois plus que Seattle. Si Seattle a 20 moutons, combien de moutons Toulouse, Charleston et Seattle ont-ils au total ?",260,"Step-by-Step Answer: 
Seattle has 20 sheep.
Charleston has 4 times more sheep than Seattle, so Charleston has 4 * 20 = 80 sheep.
Toulouse has twice as many sheep as Charleston, so Toulouse has 2 * 80 = 160 sheep.
In total, Toulouse, Charleston, and Seattle have 20 + 80 + 160 = 260 sheep.
The answer is 260.",True
"Carla est en train de télécharger un fichier de 200 Go. Elle télécharge à la vitesse de 2 Go par minute mais à 40 % de téléchargement, Windows impose un redémarrage pour installer les mises à jour, ce qui prend 20 minutes. Carla doit alors recommencer le téléchargement depuis le début. Combien de temps faut-il pour télécharger le fichier ?",7,"Follow the given examples and answer the question. In your response, use step-by-step reasoning in en. The last sentence of the response must be in the format of - The answer is {final answer}. As examples:
For user's prompt -
Question : Roger a 5 balles de tennis. Il achète 2 autres boîtes de balles de tennis en plus. Si chaque boîte contient 3 balles de tennis, combien de balles de tennis a-t-il maintenant ?
assitant's repsonse should be - 
Step-by-Step Answer: Roger started with 5 balls. 2 cans of 3 tennis balls each is 6 tennis balls. 5 + 6 = 11. The answer is 11.
For user's prompt -
Question : Il y avait neuf ordinateurs dans la salle des serveurs. Cinq ordinateurs supplémentaires ont été installés chaque jour, du lundi au jeudi. Combien d'ordinateurs y a-t-il maintenant dans la salle des serveurs ?
assitant's repsonse should be - 
Step-by-Step Answer: There are 4 days from monday to thursday. 5 computers were added each day. That means in total 4 * 5 = 20 computers were added. There were 9 computers in the beginning, so now there are 9 + 20 = 29 computers. The answer is 29.
For user's prompt -
Question : Léa avait 32 chocolats et sa sœur en avait 42. Si elles en ont mangé 35, combien de morceaux leur reste-t-il en tout ?
assitant's repsonse should be - 
Step-by-Step Answer: Leah had 32 chocolates and Leah’s sister had 42. That means there were originally 32 + 42 = 74 chocolates. 35 have been eaten. So in total they still have 74 - 35 = 39 chocolates. The answer is 39.
","Question: Carla est en train de télécharger un fichier de 200 Go. Elle télécharge à la vitesse de 2 Go par minute mais à 40 % de téléchargement, Windows impose un redémarrage pour installer les mises à jour, ce qui prend 20 minutes. Carla doit alors recommencer le téléchargement depuis le début. Combien de temps faut-il pour télécharger le fichier ?",160,"Step-by-Step Answer: 
Carla is downloading a file of 200 GB at a speed of 2 GB per minute. 
At 40% of the download, Windows requires a restart for updates, which takes 20 minutes. 
So, Carla has downloaded 40% of the file, which is 0.4 * 200 GB = 80 GB. 
Since she has to start the download again, she needs to download the remaining 60% of the file, which is 0.6 * 200 GB = 120 GB. 
At a speed of 2 GB per minute, it will take Carla 120 GB / 2 GB per minute = 60 minutes to download the remaining portion of the file. 
Adding the 20 minutes for the restart, the total time it will take Carla to download the file is 60 minutes + 20 minutes = 80 minutes. 

The answer is 80 minutes.",False
"Jean conduit pendant 3 heures à une vitesse de 60 mph, puis fait demi-tour après avoir constaté qu'il a oublié une chose très importante à la maison. Il essaie de rentrer en 4 heures, mais perd les 2 premières heures dans les embouteillages. Durant la demi-heure suivante, il conduit à 30 mph, avant de rouler à 80 mph pendant le temps restant sur les 4 heures. Quelle distance le sépare de son domicile à la fin des 4 heures ?",8,"Follow the given examples and answer the question. In your response, use step-by-step reasoning in en. The last sentence of the response must be in the format of - The answer is {final answer}. As examples:
For user's prompt -
Question : Roger a 5 balles de tennis. Il achète 2 autres boîtes de balles de tennis en plus. Si chaque boîte contient 3 balles de tennis, combien de balles de tennis a-t-il maintenant ?
assitant's repsonse should be - 
Step-by-Step Answer: Roger started with 5 balls. 2 cans of 3 tennis balls each is 6 tennis balls. 5 + 6 = 11. The answer is 11.
For user's prompt -
Question : Il y avait neuf ordinateurs dans la salle des serveurs. Cinq ordinateurs supplémentaires ont été installés chaque jour, du lundi au jeudi. Combien d'ordinateurs y a-t-il maintenant dans la salle des serveurs ?
assitant's repsonse should be - 
Step-by-Step Answer: There are 4 days from monday to thursday. 5 computers were added each day. That means in total 4 * 5 = 20 computers were added. There were 9 computers in the beginning, so now there are 9 + 20 = 29 computers. The answer is 29.
For user's prompt -
Question : Léa avait 32 chocolats et sa sœur en avait 42. Si elles en ont mangé 35, combien de morceaux leur reste-t-il en tout ?
assitant's repsonse should be - 
Step-by-Step Answer: Leah had 32 chocolates and Leah’s sister had 42. That means there were originally 32 + 42 = 74 chocolates. 35 have been eaten. So in total they still have 74 - 35 = 39 chocolates. The answer is 39.
","Question: Jean conduit pendant 3 heures à une vitesse de 60 mph, puis fait demi-tour après avoir constaté qu'il a oublié une chose très importante à la maison. Il essaie de rentrer en 4 heures, mais perd les 2 premières heures dans les embouteillages. Durant la demi-heure suivante, il conduit à 30 mph, avant de rouler à 80 mph pendant le temps restant sur les 4 heures. Quelle distance le sépare de son domicile à la fin des 4 heures ?",45,"Step-by-Step Answer: 
Jean drives for 3 hours at a speed of 60 mph, so he covers a distance of 3 * 60 = 180 miles.
Then he turns around and tries to return home in 4 hours, but gets stuck in traffic for the first 2 hours, so he doesn't make any progress during that time.
After the traffic clears, he drives at a speed of 30 mph for the next half hour, covering a distance of 30 * 0.5 = 15 miles.
Finally, he drives at a speed of 80 mph for the remaining 1.5 hours, covering a distance of 80 * 1.5 = 120 miles.
Adding up all the distances, Jean is 180 + 0 + 15 + 120 = 315 miles away from home at the end of the 4 hours.
The answer is 315.",False
"Pour les 40 premières heures de travail hebdomadaire, le taux horaire d'Élisa est de 10 $. Pour ses heures supplémentaires, elle perçoit également une rémunération équivalant à 1,2 fois son taux horaire normal. Si cette semaine Élisa a travaillé 45 heures, quel sera son salaire de la semaine ?",9,"Follow the given examples and answer the question. In your response, use step-by-step reasoning in en. The last sentence of the response must be in the format of - The answer is {final answer}. As examples:
For user's prompt -
Question : Roger a 5 balles de tennis. Il achète 2 autres boîtes de balles de tennis en plus. Si chaque boîte contient 3 balles de tennis, combien de balles de tennis a-t-il maintenant ?
assitant's repsonse should be - 
Step-by-Step Answer: Roger started with 5 balls. 2 cans of 3 tennis balls each is 6 tennis balls. 5 + 6 = 11. The answer is 11.
For user's prompt -
Question : Il y avait neuf ordinateurs dans la salle des serveurs. Cinq ordinateurs supplémentaires ont été installés chaque jour, du lundi au jeudi. Combien d'ordinateurs y a-t-il maintenant dans la salle des serveurs ?
assitant's repsonse should be - 
Step-by-Step Answer: There are 4 days from monday to thursday. 5 computers were added each day. That means in total 4 * 5 = 20 computers were added. There were 9 computers in the beginning, so now there are 9 + 20 = 29 computers. The answer is 29.
For user's prompt -
Question : Léa avait 32 chocolats et sa sœur en avait 42. Si elles en ont mangé 35, combien de morceaux leur reste-t-il en tout ?
assitant's repsonse should be - 
Step-by-Step Answer: Leah had 32 chocolates and Leah’s sister had 42. That means there were originally 32 + 42 = 74 chocolates. 35 have been eaten. So in total they still have 74 - 35 = 39 chocolates. The answer is 39.
","Question: Pour les 40 premières heures de travail hebdomadaire, le taux horaire d'Élisa est de 10 $. Pour ses heures supplémentaires, elle perçoit également une rémunération équivalant à 1,2 fois son taux horaire normal. Si cette semaine Élisa a travaillé 45 heures, quel sera son salaire de la semaine ?",460,"Step-by-Step Answer: 
Élisa travaille 40 heures à son taux horaire normal de 10 $. Donc, pour ces 40 heures, elle gagne 40 * 10 = 400 $.
Elle a également travaillé 5 heures supplémentaires. Pour ces heures supplémentaires, elle gagne 1,2 fois son taux horaire normal, soit 10 * 1,2 = 12 $ par heure.
Donc, pour les heures supplémentaires, elle gagne 5 * 12 = 60 $.
En ajoutant son salaire pour les heures normales et son salaire pour les heures supplémentaires, son salaire total pour la semaine sera de 400 + 60 = 460 $.
The answer is 460 $.",True
