question,question_idx,system_prompt,user_prompt,answer_number,model_answer,model correct,answer_n_token_3.5,answer_n_token_4o,is_fucked
Janets Enten legen 16 Eier pro Tag. Sie isst drei jeden Morgen zum Frühstück und backt mit vier jeden Tag Muffins für ihre Freunde. Den Rest verkauft sie täglich auf dem Bauernmarkt für 2 US-Dollar pro frischem Entenei. Wie viel Dollar nimmt sie täglich auf dem Bauernmarkt ein?,0,"Follow the given examples and answer the question. In your response, use step-by-step reasoning to get the final answer. Here are the examples:
Frage: Roger hat 5 Tennisbälle. Er kauft noch 2 Dosen Tennisbälle. In jeder Dose sind 3 Tennisbälle. Wie viele Tennisbälle hat er jetzt?
Schritt-für-Schritt-Antwort: Roger begann mit 5 Bällen. 2 Dosen von jeweils 3 Tennisbällen macht 6 Tennisbälle. 5 + 6 = 11. Die Antwort ist 11.
Frage: Es waren neun Computer im Serverraum. Von Montag bis Donnerstag wurden jeden Tag noch fünf Computer installiert. Wie viele Computer sind jetzt im Serverraum?
Schritt-für-Schritt-Antwort: Von Montag bis Donnerstag sind es 4 Tage. Jeden Tag kamen 5 neue Computer hinzu. Das macht insgesamt 4 x 5 = 20 Computer, die hinzugefügt wurden. Am Anfang waren es 9 Computer, also sind es jetzt 9 + 20 =29 Computer. Die Antwort lautet 29.
Frage: Leah hat 32 Pralinen und ihre Schwester hat 42. Wenn sie 35 essen, wie viele sind dann insgesamt noch übrig?
Schritt-für-Schritt-Antwort: Leah hat 32 Pralinen und Leahs Schwester 42. Das bedeutet, dass es ursprünglich 32 + 42 =74 Pralinen waren. 35 wurden gegessen. Also haben sie insgesamt noch 74 - 35 = 39 Pralinen übrig. Die Antwort lautet 39.",Question: Janets Enten legen 16 Eier pro Tag. Sie isst drei jeden Morgen zum Frühstück und backt mit vier jeden Tag Muffins für ihre Freunde. Den Rest verkauft sie täglich auf dem Bauernmarkt für 2 US-Dollar pro frischem Entenei. Wie viel Dollar nimmt sie täglich auf dem Bauernmarkt ein?,18,"Schritt-für-Schritt-Antwort: Janet hat 16 Enteneier pro Tag. Sie isst 3 Eier zum Frühstück und backt mit 4 Eiern Muffins. Das macht insgesamt 3 + 4 = 7 Eier, die sie nicht verkauft. 
Also hat sie 16 - 7 = 9 Eier übrig, die sie auf dem Bauernmarkt verkauft.
Sie verkauft jedes Ei für 2 US-Dollar, also nimmt sie täglich 9 x 2 = 18 US-Dollar auf dem Bauernmarkt ein.
Die Antwort lautet 18.",True,143,117,False
Ein Kleid erfordert 2 Knäuel blaue Wolle und halb so viel weiße Wolle. Wie viele Knäuel braucht man insgesamt?,1,"Follow the given examples and answer the question. In your response, use step-by-step reasoning to get the final answer. Here are the examples:
Frage: Roger hat 5 Tennisbälle. Er kauft noch 2 Dosen Tennisbälle. In jeder Dose sind 3 Tennisbälle. Wie viele Tennisbälle hat er jetzt?
Schritt-für-Schritt-Antwort: Roger begann mit 5 Bällen. 2 Dosen von jeweils 3 Tennisbällen macht 6 Tennisbälle. 5 + 6 = 11. Die Antwort ist 11.
Frage: Es waren neun Computer im Serverraum. Von Montag bis Donnerstag wurden jeden Tag noch fünf Computer installiert. Wie viele Computer sind jetzt im Serverraum?
Schritt-für-Schritt-Antwort: Von Montag bis Donnerstag sind es 4 Tage. Jeden Tag kamen 5 neue Computer hinzu. Das macht insgesamt 4 x 5 = 20 Computer, die hinzugefügt wurden. Am Anfang waren es 9 Computer, also sind es jetzt 9 + 20 =29 Computer. Die Antwort lautet 29.
Frage: Leah hat 32 Pralinen und ihre Schwester hat 42. Wenn sie 35 essen, wie viele sind dann insgesamt noch übrig?
Schritt-für-Schritt-Antwort: Leah hat 32 Pralinen und Leahs Schwester 42. Das bedeutet, dass es ursprünglich 32 + 42 =74 Pralinen waren. 35 wurden gegessen. Also haben sie insgesamt noch 74 - 35 = 39 Pralinen übrig. Die Antwort lautet 39.",Question: Ein Kleid erfordert 2 Knäuel blaue Wolle und halb so viel weiße Wolle. Wie viele Knäuel braucht man insgesamt?,3,"Schritt-für-Schritt-Antwort: Das Kleid benötigt 2 Knäuel blaue Wolle. Die Menge an weißer Wolle, die benötigt wird, ist die Hälfte der Menge an blauer Wolle. Das bedeutet, dass wir die Anzahl der blauen Wolle halbieren müssen. Halb von 2 ist 1. Also benötigt das Kleid 1 Knäuel weiße Wolle. Insgesamt werden also 2 + 1 = 3 Knäuel Wolle benötigt. Die Antwort lautet 3.",True,127,108,False
"Josh beschließt, ein Haus zu verkaufen. Er kauft ein Haus für 80.000 US-Dollar und steckt anschließend 50.000 US-Dollar an Reparaturen hinein. Dadurch steigt der Wert des Hauses um 150 %. Wie viel Gewinn macht er?",2,"Follow the given examples and answer the question. In your response, use step-by-step reasoning to get the final answer. Here are the examples:
Frage: Roger hat 5 Tennisbälle. Er kauft noch 2 Dosen Tennisbälle. In jeder Dose sind 3 Tennisbälle. Wie viele Tennisbälle hat er jetzt?
Schritt-für-Schritt-Antwort: Roger begann mit 5 Bällen. 2 Dosen von jeweils 3 Tennisbällen macht 6 Tennisbälle. 5 + 6 = 11. Die Antwort ist 11.
Frage: Es waren neun Computer im Serverraum. Von Montag bis Donnerstag wurden jeden Tag noch fünf Computer installiert. Wie viele Computer sind jetzt im Serverraum?
Schritt-für-Schritt-Antwort: Von Montag bis Donnerstag sind es 4 Tage. Jeden Tag kamen 5 neue Computer hinzu. Das macht insgesamt 4 x 5 = 20 Computer, die hinzugefügt wurden. Am Anfang waren es 9 Computer, also sind es jetzt 9 + 20 =29 Computer. Die Antwort lautet 29.
Frage: Leah hat 32 Pralinen und ihre Schwester hat 42. Wenn sie 35 essen, wie viele sind dann insgesamt noch übrig?
Schritt-für-Schritt-Antwort: Leah hat 32 Pralinen und Leahs Schwester 42. Das bedeutet, dass es ursprünglich 32 + 42 =74 Pralinen waren. 35 wurden gegessen. Also haben sie insgesamt noch 74 - 35 = 39 Pralinen übrig. Die Antwort lautet 39.","Question: Josh beschließt, ein Haus zu verkaufen. Er kauft ein Haus für 80.000 US-Dollar und steckt anschließend 50.000 US-Dollar an Reparaturen hinein. Dadurch steigt der Wert des Hauses um 150 %. Wie viel Gewinn macht er?",70000,"Schritt-für-Schritt-Antwort: 
1. Josh kauft das Haus für 80.000 US-Dollar.
2. Er investiert 50.000 US-Dollar in Reparaturen.
3. Durch die Reparaturen steigt der Wert des Hauses um 150 %.
4. Um den neuen Wert des Hauses zu berechnen, multiplizieren wir den ursprünglichen Wert des Hauses (80.000 US-Dollar) mit 150 % (1,5): 80.000 * 1,5 = 120.000 US-Dollar.
5. Der neue Wert des Hauses beträgt also 120.000 US-Dollar.
6. Um den Gewinn zu berechnen, subtrahieren wir den ursprünglichen Kaufpreis (80.000 US-Dollar) und die Reparaturkosten (50.000 US-Dollar) vom neuen Wert des Hauses (120.000 US-Dollar): 120.000 - 80.000 - 50.000 = 40.000 US-Dollar.
7. Josh macht also einen Gewinn von 40.000 US-Dollar.",False,253,214,False
"James beschließt, 3-mal pro Woche 3 Kurzstreckenläufe zu absolvieren. Pro Kurzstreckenlauf läuft er 60 Meter. Wie viele Meter insgesamt läuft er pro Woche?",3,"Follow the given examples and answer the question. In your response, use step-by-step reasoning to get the final answer. Here are the examples:
Frage: Roger hat 5 Tennisbälle. Er kauft noch 2 Dosen Tennisbälle. In jeder Dose sind 3 Tennisbälle. Wie viele Tennisbälle hat er jetzt?
Schritt-für-Schritt-Antwort: Roger begann mit 5 Bällen. 2 Dosen von jeweils 3 Tennisbällen macht 6 Tennisbälle. 5 + 6 = 11. Die Antwort ist 11.
Frage: Es waren neun Computer im Serverraum. Von Montag bis Donnerstag wurden jeden Tag noch fünf Computer installiert. Wie viele Computer sind jetzt im Serverraum?
Schritt-für-Schritt-Antwort: Von Montag bis Donnerstag sind es 4 Tage. Jeden Tag kamen 5 neue Computer hinzu. Das macht insgesamt 4 x 5 = 20 Computer, die hinzugefügt wurden. Am Anfang waren es 9 Computer, also sind es jetzt 9 + 20 =29 Computer. Die Antwort lautet 29.
Frage: Leah hat 32 Pralinen und ihre Schwester hat 42. Wenn sie 35 essen, wie viele sind dann insgesamt noch übrig?
Schritt-für-Schritt-Antwort: Leah hat 32 Pralinen und Leahs Schwester 42. Das bedeutet, dass es ursprünglich 32 + 42 =74 Pralinen waren. 35 wurden gegessen. Also haben sie insgesamt noch 74 - 35 = 39 Pralinen übrig. Die Antwort lautet 39.","Question: James beschließt, 3-mal pro Woche 3 Kurzstreckenläufe zu absolvieren. Pro Kurzstreckenlauf läuft er 60 Meter. Wie viele Meter insgesamt läuft er pro Woche?",540,"Schritt-für-Schritt-Antwort: James läuft 3-mal pro Woche. Pro Lauf legt er 60 Meter zurück. Um die Gesamtstrecke pro Woche zu berechnen, multiplizieren wir die Anzahl der Läufe pro Woche mit der Strecke pro Lauf. Also 3 Läufe pro Woche * 60 Meter pro Lauf = 180 Meter pro Woche. Die Antwort lautet 180 Meter.",False,99,81,False
"Wendi füttert jedes ihrer Hühner täglich mit drei Tassen gemischtem Hühnerfutter, mit Samen, Mehlwürmern und Gemüse, damit sie gesund bleiben. Sie füttert die Hühner in drei separaten Mahlzeiten. Morgens füttert sie ihre Hühnerschar mit 15 Tassen Futter. Nachmittags gibt sie den Hühnern noch einmal 25 Tassen Futter. Wie viele Tassen Futter braucht sie, um den Hühnern die letzte Mahlzeit des Tages zu verabreichen, wenn Wendis Hühnerschar aus 20 Hühnern besteht?",4,"Follow the given examples and answer the question. In your response, use step-by-step reasoning to get the final answer. Here are the examples:
Frage: Roger hat 5 Tennisbälle. Er kauft noch 2 Dosen Tennisbälle. In jeder Dose sind 3 Tennisbälle. Wie viele Tennisbälle hat er jetzt?
Schritt-für-Schritt-Antwort: Roger begann mit 5 Bällen. 2 Dosen von jeweils 3 Tennisbällen macht 6 Tennisbälle. 5 + 6 = 11. Die Antwort ist 11.
Frage: Es waren neun Computer im Serverraum. Von Montag bis Donnerstag wurden jeden Tag noch fünf Computer installiert. Wie viele Computer sind jetzt im Serverraum?
Schritt-für-Schritt-Antwort: Von Montag bis Donnerstag sind es 4 Tage. Jeden Tag kamen 5 neue Computer hinzu. Das macht insgesamt 4 x 5 = 20 Computer, die hinzugefügt wurden. Am Anfang waren es 9 Computer, also sind es jetzt 9 + 20 =29 Computer. Die Antwort lautet 29.
Frage: Leah hat 32 Pralinen und ihre Schwester hat 42. Wenn sie 35 essen, wie viele sind dann insgesamt noch übrig?
Schritt-für-Schritt-Antwort: Leah hat 32 Pralinen und Leahs Schwester 42. Das bedeutet, dass es ursprünglich 32 + 42 =74 Pralinen waren. 35 wurden gegessen. Also haben sie insgesamt noch 74 - 35 = 39 Pralinen übrig. Die Antwort lautet 39.","Question: Wendi füttert jedes ihrer Hühner täglich mit drei Tassen gemischtem Hühnerfutter, mit Samen, Mehlwürmern und Gemüse, damit sie gesund bleiben. Sie füttert die Hühner in drei separaten Mahlzeiten. Morgens füttert sie ihre Hühnerschar mit 15 Tassen Futter. Nachmittags gibt sie den Hühnern noch einmal 25 Tassen Futter. Wie viele Tassen Futter braucht sie, um den Hühnern die letzte Mahlzeit des Tages zu verabreichen, wenn Wendis Hühnerschar aus 20 Hühnern besteht?",20,"Schritt-für-Schritt-Antwort: 
Wendi füttert ihre Hühner in drei separaten Mahlzeiten. Morgens gibt sie ihnen 15 Tassen Futter und nachmittags noch einmal 25 Tassen Futter. Das bedeutet, dass sie insgesamt 15 + 25 = 40 Tassen Futter für die ersten beiden Mahlzeiten benötigt.

Da Wendi 20 Hühner hat und jedes Huhn täglich mit drei Tassen Futter gefüttert wird, benötigt sie insgesamt 20 x 3 = 60 Tassen Futter pro Tag.

Um die letzte Mahlzeit des Tages zu verabreichen, muss Wendi also insgesamt 60 - 40 = 20 Tassen Futter verwenden.

Die Antwort lautet 20.",True,180,157,False
"Kylar geht ins Kaufhaus, um Gläser für seine neue Wohnung zu erwerben. Ein Glas kostet 5 US-Dollar, aber jedes weitere Glas kostet nur 60 % des Ausgangspreises. Kylar möchte 16 Gläser kaufen. Wie viel muss er dafür ausgeben?",5,"Follow the given examples and answer the question. In your response, use step-by-step reasoning to get the final answer. Here are the examples:
Frage: Roger hat 5 Tennisbälle. Er kauft noch 2 Dosen Tennisbälle. In jeder Dose sind 3 Tennisbälle. Wie viele Tennisbälle hat er jetzt?
Schritt-für-Schritt-Antwort: Roger begann mit 5 Bällen. 2 Dosen von jeweils 3 Tennisbällen macht 6 Tennisbälle. 5 + 6 = 11. Die Antwort ist 11.
Frage: Es waren neun Computer im Serverraum. Von Montag bis Donnerstag wurden jeden Tag noch fünf Computer installiert. Wie viele Computer sind jetzt im Serverraum?
Schritt-für-Schritt-Antwort: Von Montag bis Donnerstag sind es 4 Tage. Jeden Tag kamen 5 neue Computer hinzu. Das macht insgesamt 4 x 5 = 20 Computer, die hinzugefügt wurden. Am Anfang waren es 9 Computer, also sind es jetzt 9 + 20 =29 Computer. Die Antwort lautet 29.
Frage: Leah hat 32 Pralinen und ihre Schwester hat 42. Wenn sie 35 essen, wie viele sind dann insgesamt noch übrig?
Schritt-für-Schritt-Antwort: Leah hat 32 Pralinen und Leahs Schwester 42. Das bedeutet, dass es ursprünglich 32 + 42 =74 Pralinen waren. 35 wurden gegessen. Also haben sie insgesamt noch 74 - 35 = 39 Pralinen übrig. Die Antwort lautet 39.","Question: Kylar geht ins Kaufhaus, um Gläser für seine neue Wohnung zu erwerben. Ein Glas kostet 5 US-Dollar, aber jedes weitere Glas kostet nur 60 % des Ausgangspreises. Kylar möchte 16 Gläser kaufen. Wie viel muss er dafür ausgeben?",64,"Schritt-für-Schritt-Antwort: 
Ein Glas kostet 5 US-Dollar. Jedes weitere Glas kostet 60 % des Ausgangspreises, also 5 US-Dollar * 0,6 = 3 US-Dollar.
Kylar möchte 16 Gläser kaufen. Das erste Glas kostet 5 US-Dollar und die restlichen 15 Gläser kosten jeweils 3 US-Dollar.
Die Kosten für die restlichen 15 Gläser betragen also 15 Gläser * 3 US-Dollar/Glas = 45 US-Dollar.
Die Gesamtkosten betragen also 5 US-Dollar (für das erste Glas) + 45 US-Dollar (für die restlichen 15 Gläser) = 50 US-Dollar.
Kylar muss also insgesamt 50 US-Dollar ausgeben.",False,191,161,False
"Toulouse hat zweimal so viele Schafe wie Charleston. Charleston hat 4-mal so viele Schafe wie Seattle. Wie viele Schafe haben Toulouse, Charleston und Seattle zusammen, wenn Seattle 20 Schafe hat?",6,"Follow the given examples and answer the question. In your response, use step-by-step reasoning to get the final answer. Here are the examples:
Frage: Roger hat 5 Tennisbälle. Er kauft noch 2 Dosen Tennisbälle. In jeder Dose sind 3 Tennisbälle. Wie viele Tennisbälle hat er jetzt?
Schritt-für-Schritt-Antwort: Roger begann mit 5 Bällen. 2 Dosen von jeweils 3 Tennisbällen macht 6 Tennisbälle. 5 + 6 = 11. Die Antwort ist 11.
Frage: Es waren neun Computer im Serverraum. Von Montag bis Donnerstag wurden jeden Tag noch fünf Computer installiert. Wie viele Computer sind jetzt im Serverraum?
Schritt-für-Schritt-Antwort: Von Montag bis Donnerstag sind es 4 Tage. Jeden Tag kamen 5 neue Computer hinzu. Das macht insgesamt 4 x 5 = 20 Computer, die hinzugefügt wurden. Am Anfang waren es 9 Computer, also sind es jetzt 9 + 20 =29 Computer. Die Antwort lautet 29.
Frage: Leah hat 32 Pralinen und ihre Schwester hat 42. Wenn sie 35 essen, wie viele sind dann insgesamt noch übrig?
Schritt-für-Schritt-Antwort: Leah hat 32 Pralinen und Leahs Schwester 42. Das bedeutet, dass es ursprünglich 32 + 42 =74 Pralinen waren. 35 wurden gegessen. Also haben sie insgesamt noch 74 - 35 = 39 Pralinen übrig. Die Antwort lautet 39.","Question: Toulouse hat zweimal so viele Schafe wie Charleston. Charleston hat 4-mal so viele Schafe wie Seattle. Wie viele Schafe haben Toulouse, Charleston und Seattle zusammen, wenn Seattle 20 Schafe hat?",260,"Step-by-step answer: 
Seattle has 20 sheep. 
Charleston has 4 times as many sheep as Seattle, so Charleston has 4 * 20 = 80 sheep. 
Toulouse has twice as many sheep as Charleston, so Toulouse has 2 * 80 = 160 sheep. 
Together, Toulouse, Charleston, and Seattle have 160 + 80 + 20 = 260 sheep. 
The answer is 260.",True,94,93,False
"Carla lädt eine Datei mit 200 GB herunter. Normalerweise kann sie 2 GB/Minute herunterladen, aber nachdem 40 % des Downloads abgeschlossen sind, erzwingt Windows einen Neustart, um Updates zu installieren, was 20 Minuten dauert. Danach muss Carla den Download noch einmal ganz neu starten. Wie lange dauert das Herunterladen der Datei?",7,"Follow the given examples and answer the question. In your response, use step-by-step reasoning to get the final answer. Here are the examples:
Frage: Roger hat 5 Tennisbälle. Er kauft noch 2 Dosen Tennisbälle. In jeder Dose sind 3 Tennisbälle. Wie viele Tennisbälle hat er jetzt?
Schritt-für-Schritt-Antwort: Roger begann mit 5 Bällen. 2 Dosen von jeweils 3 Tennisbällen macht 6 Tennisbälle. 5 + 6 = 11. Die Antwort ist 11.
Frage: Es waren neun Computer im Serverraum. Von Montag bis Donnerstag wurden jeden Tag noch fünf Computer installiert. Wie viele Computer sind jetzt im Serverraum?
Schritt-für-Schritt-Antwort: Von Montag bis Donnerstag sind es 4 Tage. Jeden Tag kamen 5 neue Computer hinzu. Das macht insgesamt 4 x 5 = 20 Computer, die hinzugefügt wurden. Am Anfang waren es 9 Computer, also sind es jetzt 9 + 20 =29 Computer. Die Antwort lautet 29.
Frage: Leah hat 32 Pralinen und ihre Schwester hat 42. Wenn sie 35 essen, wie viele sind dann insgesamt noch übrig?
Schritt-für-Schritt-Antwort: Leah hat 32 Pralinen und Leahs Schwester 42. Das bedeutet, dass es ursprünglich 32 + 42 =74 Pralinen waren. 35 wurden gegessen. Also haben sie insgesamt noch 74 - 35 = 39 Pralinen übrig. Die Antwort lautet 39.","Question: Carla lädt eine Datei mit 200 GB herunter. Normalerweise kann sie 2 GB/Minute herunterladen, aber nachdem 40 % des Downloads abgeschlossen sind, erzwingt Windows einen Neustart, um Updates zu installieren, was 20 Minuten dauert. Danach muss Carla den Download noch einmal ganz neu starten. Wie lange dauert das Herunterladen der Datei?",160,"Schritt-für-Schritt-Antwort: 
1. Carla kann normalerweise 2 GB pro Minute herunterladen. 
2. Der Download der Datei beträgt 200 GB. 
3. Um herauszufinden, wie lange es dauert, die Datei herunterzuladen, teilen wir die Dateigröße durch die Downloadgeschwindigkeit: 200 GB / 2 GB/Minute = 100 Minuten. 
4. Nachdem 40 % des Downloads abgeschlossen sind, erzwingt Windows einen Neustart, der 20 Minuten dauert. 
5. Nach dem Neustart muss Carla den Download noch einmal ganz neu starten, was weitere 100 Minuten dauert. 
6. Insgesamt dauert das Herunterladen der Datei also 100 Minuten (vor dem Neustart) + 20 Minuten (Neustart) + 100 Minuten (nach dem Neustart) = 220 Minuten. 
Die Antwort lautet also 220 Minuten.",False,217,184,False
"John fährt 3 Stunden lang mit einer Geschwindigkeit von 60 Meilen/Stunde und dreht dann um, weil er bemerkt, dass er etwas ganz Wichtiges zu Hause vergessen hat. Er versucht, innerhalb von 4 Stunden nach Hause zu kommen, verbringt allerdings die ersten 2 Stunden im Stau. Die anschließende halbe Stunde fährt er mit einer Geschwindigkeit von 30 Meilen/Stunde, bevor er die verbleibende Zeit von 4 Stunden mit 80 Meilen/Stunde weiterfahren kann. Wie weit weg von zu Hause ist er am Ende dieser 4 Stunden?",8,"Follow the given examples and answer the question. In your response, use step-by-step reasoning to get the final answer. Here are the examples:
Frage: Roger hat 5 Tennisbälle. Er kauft noch 2 Dosen Tennisbälle. In jeder Dose sind 3 Tennisbälle. Wie viele Tennisbälle hat er jetzt?
Schritt-für-Schritt-Antwort: Roger begann mit 5 Bällen. 2 Dosen von jeweils 3 Tennisbällen macht 6 Tennisbälle. 5 + 6 = 11. Die Antwort ist 11.
Frage: Es waren neun Computer im Serverraum. Von Montag bis Donnerstag wurden jeden Tag noch fünf Computer installiert. Wie viele Computer sind jetzt im Serverraum?
Schritt-für-Schritt-Antwort: Von Montag bis Donnerstag sind es 4 Tage. Jeden Tag kamen 5 neue Computer hinzu. Das macht insgesamt 4 x 5 = 20 Computer, die hinzugefügt wurden. Am Anfang waren es 9 Computer, also sind es jetzt 9 + 20 =29 Computer. Die Antwort lautet 29.
Frage: Leah hat 32 Pralinen und ihre Schwester hat 42. Wenn sie 35 essen, wie viele sind dann insgesamt noch übrig?
Schritt-für-Schritt-Antwort: Leah hat 32 Pralinen und Leahs Schwester 42. Das bedeutet, dass es ursprünglich 32 + 42 =74 Pralinen waren. 35 wurden gegessen. Also haben sie insgesamt noch 74 - 35 = 39 Pralinen übrig. Die Antwort lautet 39.","Question: John fährt 3 Stunden lang mit einer Geschwindigkeit von 60 Meilen/Stunde und dreht dann um, weil er bemerkt, dass er etwas ganz Wichtiges zu Hause vergessen hat. Er versucht, innerhalb von 4 Stunden nach Hause zu kommen, verbringt allerdings die ersten 2 Stunden im Stau. Die anschließende halbe Stunde fährt er mit einer Geschwindigkeit von 30 Meilen/Stunde, bevor er die verbleibende Zeit von 4 Stunden mit 80 Meilen/Stunde weiterfahren kann. Wie weit weg von zu Hause ist er am Ende dieser 4 Stunden?",45,"Schritt-für-Schritt-Antwort: 

John fährt zuerst 3 Stunden lang mit einer Geschwindigkeit von 60 Meilen/Stunde. Das bedeutet, dass er in diesen 3 Stunden eine Strecke von 3 * 60 = 180 Meilen zurücklegt.

Dann dreht er um und fährt zurück nach Hause. Er versucht, innerhalb von 4 Stunden nach Hause zu kommen, verbringt aber die ersten 2 Stunden im Stau. Das bedeutet, dass er nur noch 4 - 2 = 2 Stunden Zeit hat, um nach Hause zu kommen.

In der ersten halben Stunde fährt er mit einer Geschwindigkeit von 30 Meilen/Stunde. Das bedeutet, dass er in dieser halben Stunde eine Strecke von 0,5 * 30 = 15 Meilen zurücklegt.

Die verbleibende Zeit von 2 Stunden fährt er mit einer Geschwindigkeit von 80 Meilen/Stunde. Das bedeutet, dass er in diesen 2 Stunden eine Strecke von 2 * 80 = 160 Meilen zurücklegt.

Insgesamt legt er also eine Strecke von 180 + 15 + 160 = 355 Meilen zurück.

Die Antwort lautet also, dass er am Ende dieser 4 Stunden 355 Meilen von zu Hause entfernt ist.",False,302,257,False
"Elizas Lohn für die ersten 40 Stunden, die sie pro Woche arbeitet, beträgt 10 US-Dollar. Sie bekommt auch die Überstunden mit dem 1,2-Fachen des normalen Stundensatzes vergütet. Wie viel verdient Eliza, wenn sie diese Woche 45 Stunden arbeitet?",9,"Follow the given examples and answer the question. In your response, use step-by-step reasoning to get the final answer. Here are the examples:
Frage: Roger hat 5 Tennisbälle. Er kauft noch 2 Dosen Tennisbälle. In jeder Dose sind 3 Tennisbälle. Wie viele Tennisbälle hat er jetzt?
Schritt-für-Schritt-Antwort: Roger begann mit 5 Bällen. 2 Dosen von jeweils 3 Tennisbällen macht 6 Tennisbälle. 5 + 6 = 11. Die Antwort ist 11.
Frage: Es waren neun Computer im Serverraum. Von Montag bis Donnerstag wurden jeden Tag noch fünf Computer installiert. Wie viele Computer sind jetzt im Serverraum?
Schritt-für-Schritt-Antwort: Von Montag bis Donnerstag sind es 4 Tage. Jeden Tag kamen 5 neue Computer hinzu. Das macht insgesamt 4 x 5 = 20 Computer, die hinzugefügt wurden. Am Anfang waren es 9 Computer, also sind es jetzt 9 + 20 =29 Computer. Die Antwort lautet 29.
Frage: Leah hat 32 Pralinen und ihre Schwester hat 42. Wenn sie 35 essen, wie viele sind dann insgesamt noch übrig?
Schritt-für-Schritt-Antwort: Leah hat 32 Pralinen und Leahs Schwester 42. Das bedeutet, dass es ursprünglich 32 + 42 =74 Pralinen waren. 35 wurden gegessen. Also haben sie insgesamt noch 74 - 35 = 39 Pralinen übrig. Die Antwort lautet 39.","Question: Elizas Lohn für die ersten 40 Stunden, die sie pro Woche arbeitet, beträgt 10 US-Dollar. Sie bekommt auch die Überstunden mit dem 1,2-Fachen des normalen Stundensatzes vergütet. Wie viel verdient Eliza, wenn sie diese Woche 45 Stunden arbeitet?",460,"Schritt-für-Schritt-Antwort: 
Eliza verdient 10 US-Dollar pro Stunde für die ersten 40 Stunden, die sie pro Woche arbeitet. 
Das bedeutet, dass sie für diese 40 Stunden insgesamt 40 * 10 = 400 US-Dollar verdient. 
Für die zusätzlichen 5 Überstunden bekommt sie den 1,2-fachen Stundensatz. 
Das bedeutet, dass sie für jede Überstunde 10 * 1,2 = 12 US-Dollar verdient. 
Also verdient sie für die 5 Überstunden insgesamt 5 * 12 = 60 US-Dollar. 
Insgesamt verdient Eliza diese Woche 400 + 60 = 460 US-Dollar. 
Die Antwort lautet 460.",True,180,151,False
