question,question_idx,system_prompt,user_prompt,answer_number,model_answer,model correct,answer_n_token_3.5,answer_n_token_4o,is_fucked
เป็ดของเจเน็ตวางไข่วันละ 16 ฟอง เธอกินไข่สามฟองเป็นมื้อเช้าทุกวัน และใช้ไข่สี่ฟองอบมัฟฟินให้เพื่อนทุกวัน เธอขายไข่ที่เหลือที่ตลาดเกษตรกรทุกวันในราคา $2 ต่อไข่เป็ดสดหนึ่งฟอง เธอจะมีรายได้จากตลาดเกษตรกรวันละกี่ดอลลาร์,0,"Follow the given examples and answer the question. Give only a final answer in the format X={numeric answer}. Do not include any other text in your response also don't include any textual or symbolic words beside the numeric answer. Here are the examples:
โจทย์: โรเจอร์มีลูกเทนนิส 5 ลูก เขาซื้อลูกเทนนิสเพิ่มอีก 2 กระป๋อง โดยแต่ละกระป๋องมีลูกเทนนิส 3 ลูก ตอนนี้เขามีลูกเทนนิสกี่ลูก
X=11
โจทย์: มีคอมพิวเตอร์เก้าเครื่องในห้องเซิร์ฟเวอร์ โดยตั้งแต่วันจันทร์ถึงวันพฤหัสบดีมีคอมพิวเตอร์ติดตั้งเพิ่มอีกวันละห้าเครื่อง ตอนนี้มีคอมพิวเตอร์ในห้องเซิร์ฟเวอร์กี่เครื่อง
X=29
โจทย์: ลีอามีช็อกโกแลตอยู่ 32 ชิ้น และน้องสาวมีช็อกโกแลตอยู่ 42 ชิ้น หากทั้งสองคนทานช็อกโกแลตไปแล้ว 35 ชิ้น จะเหลือช็อกโกแลตทั้งหมดกี่ชิ้น
X=39",Question: เป็ดของเจเน็ตวางไข่วันละ 16 ฟอง เธอกินไข่สามฟองเป็นมื้อเช้าทุกวัน และใช้ไข่สี่ฟองอบมัฟฟินให้เพื่อนทุกวัน เธอขายไข่ที่เหลือที่ตลาดเกษตรกรทุกวันในราคา $2 ต่อไข่เป็ดสดหนึ่งฟอง เธอจะมีรายได้จากตลาดเกษตรกรวันละกี่ดอลลาร์,18,เธอจะมีรายได้จากตลาดเกษตรกรวันละ 8 ดอลลาร์,False,41,19,False
เสื้อคลุมหนึ่งตัวใช้ผ้าสีน้ำเงิน 2 ม้วน และใช้ผ้าสีขาวเป็นครึ่งหนึ่งของผ้าสีน้ำเงิน เสื้อคลุมหนึ่งตัวใช้ผ้าทั้งหมดกี่ม้วน,1,"Follow the given examples and answer the question. Give only a final answer in the format X={numeric answer}. Do not include any other text in your response also don't include any textual or symbolic words beside the numeric answer. Here are the examples:
โจทย์: โรเจอร์มีลูกเทนนิส 5 ลูก เขาซื้อลูกเทนนิสเพิ่มอีก 2 กระป๋อง โดยแต่ละกระป๋องมีลูกเทนนิส 3 ลูก ตอนนี้เขามีลูกเทนนิสกี่ลูก
X=11
โจทย์: มีคอมพิวเตอร์เก้าเครื่องในห้องเซิร์ฟเวอร์ โดยตั้งแต่วันจันทร์ถึงวันพฤหัสบดีมีคอมพิวเตอร์ติดตั้งเพิ่มอีกวันละห้าเครื่อง ตอนนี้มีคอมพิวเตอร์ในห้องเซิร์ฟเวอร์กี่เครื่อง
X=29
โจทย์: ลีอามีช็อกโกแลตอยู่ 32 ชิ้น และน้องสาวมีช็อกโกแลตอยู่ 42 ชิ้น หากทั้งสองคนทานช็อกโกแลตไปแล้ว 35 ชิ้น จะเหลือช็อกโกแลตทั้งหมดกี่ชิ้น
X=39",Question: เสื้อคลุมหนึ่งตัวใช้ผ้าสีน้ำเงิน 2 ม้วน และใช้ผ้าสีขาวเป็นครึ่งหนึ่งของผ้าสีน้ำเงิน เสื้อคลุมหนึ่งตัวใช้ผ้าทั้งหมดกี่ม้วน,3,X=3,True,3,3,False
"จอชตัดสินใจลองซื้อบ้านมาซ่อมเพื่อขายต่อ เขาซื้อบ้านในราคา $80,000 และใช้เงินซ่อมแซมบ้าน $50,000 การซ่อมแซมทำให้บ้านมีมูลค่าเพิ่มขึ้น 150% เขาทำกำไรได้กี่ดอลลาร์",2,"Follow the given examples and answer the question. Give only a final answer in the format X={numeric answer}. Do not include any other text in your response also don't include any textual or symbolic words beside the numeric answer. Here are the examples:
โจทย์: โรเจอร์มีลูกเทนนิส 5 ลูก เขาซื้อลูกเทนนิสเพิ่มอีก 2 กระป๋อง โดยแต่ละกระป๋องมีลูกเทนนิส 3 ลูก ตอนนี้เขามีลูกเทนนิสกี่ลูก
X=11
โจทย์: มีคอมพิวเตอร์เก้าเครื่องในห้องเซิร์ฟเวอร์ โดยตั้งแต่วันจันทร์ถึงวันพฤหัสบดีมีคอมพิวเตอร์ติดตั้งเพิ่มอีกวันละห้าเครื่อง ตอนนี้มีคอมพิวเตอร์ในห้องเซิร์ฟเวอร์กี่เครื่อง
X=29
โจทย์: ลีอามีช็อกโกแลตอยู่ 32 ชิ้น และน้องสาวมีช็อกโกแลตอยู่ 42 ชิ้น หากทั้งสองคนทานช็อกโกแลตไปแล้ว 35 ชิ้น จะเหลือช็อกโกแลตทั้งหมดกี่ชิ้น
X=39","Question: จอชตัดสินใจลองซื้อบ้านมาซ่อมเพื่อขายต่อ เขาซื้อบ้านในราคา $80,000 และใช้เงินซ่อมแซมบ้าน $50,000 การซ่อมแซมทำให้บ้านมีมูลค่าเพิ่มขึ้น 150% เขาทำกำไรได้กี่ดอลลาร์",70000,"X=120,000",False,5,5,False
เจมส์ตัดสินใจวิ่งระยะสั้น 3 เซ็ต 3 ครั้งต่อสัปดาห์ โดยวิ่งเซ็ตละ 60 เมตร ในหนึ่งสัปดาห์เขาวิ่งไปทั้งหมดกี่เมตร,3,"Follow the given examples and answer the question. Give only a final answer in the format X={numeric answer}. Do not include any other text in your response also don't include any textual or symbolic words beside the numeric answer. Here are the examples:
โจทย์: โรเจอร์มีลูกเทนนิส 5 ลูก เขาซื้อลูกเทนนิสเพิ่มอีก 2 กระป๋อง โดยแต่ละกระป๋องมีลูกเทนนิส 3 ลูก ตอนนี้เขามีลูกเทนนิสกี่ลูก
X=11
โจทย์: มีคอมพิวเตอร์เก้าเครื่องในห้องเซิร์ฟเวอร์ โดยตั้งแต่วันจันทร์ถึงวันพฤหัสบดีมีคอมพิวเตอร์ติดตั้งเพิ่มอีกวันละห้าเครื่อง ตอนนี้มีคอมพิวเตอร์ในห้องเซิร์ฟเวอร์กี่เครื่อง
X=29
โจทย์: ลีอามีช็อกโกแลตอยู่ 32 ชิ้น และน้องสาวมีช็อกโกแลตอยู่ 42 ชิ้น หากทั้งสองคนทานช็อกโกแลตไปแล้ว 35 ชิ้น จะเหลือช็อกโกแลตทั้งหมดกี่ชิ้น
X=39",Question: เจมส์ตัดสินใจวิ่งระยะสั้น 3 เซ็ต 3 ครั้งต่อสัปดาห์ โดยวิ่งเซ็ตละ 60 เมตร ในหนึ่งสัปดาห์เขาวิ่งไปทั้งหมดกี่เมตร,540,X=540,True,3,3,False
เวนดี้ให้อาหารไก่เป็นประจำทุกวันด้วยอาหารไก่คลุกตัวละสามถ้วยซึ่งประกอบด้วยเมล็ดพืช หนอนนก และผักเพื่อช่วยให้ไก่ของเธอมีสุขภาพแข็งแรง เธอแบ่งให้อาหารไก่เป็นสามมื้อ ในตอนเช้า เธอให้อาหารไก่ 15 ถ้วย ในตอนบ่าย เธอให้อาหารไก่อีก 25 ถ้วย ถ้าไก่ในเล้าของเวนดี้มีทั้งหมด 20 ตัว เธอจะต้องให้อาหารไก่ในมื้อสุดท้ายของวันเป็นจำนวนกี่ถ้วย,4,"Follow the given examples and answer the question. Give only a final answer in the format X={numeric answer}. Do not include any other text in your response also don't include any textual or symbolic words beside the numeric answer. Here are the examples:
โจทย์: โรเจอร์มีลูกเทนนิส 5 ลูก เขาซื้อลูกเทนนิสเพิ่มอีก 2 กระป๋อง โดยแต่ละกระป๋องมีลูกเทนนิส 3 ลูก ตอนนี้เขามีลูกเทนนิสกี่ลูก
X=11
โจทย์: มีคอมพิวเตอร์เก้าเครื่องในห้องเซิร์ฟเวอร์ โดยตั้งแต่วันจันทร์ถึงวันพฤหัสบดีมีคอมพิวเตอร์ติดตั้งเพิ่มอีกวันละห้าเครื่อง ตอนนี้มีคอมพิวเตอร์ในห้องเซิร์ฟเวอร์กี่เครื่อง
X=29
โจทย์: ลีอามีช็อกโกแลตอยู่ 32 ชิ้น และน้องสาวมีช็อกโกแลตอยู่ 42 ชิ้น หากทั้งสองคนทานช็อกโกแลตไปแล้ว 35 ชิ้น จะเหลือช็อกโกแลตทั้งหมดกี่ชิ้น
X=39",Question: เวนดี้ให้อาหารไก่เป็นประจำทุกวันด้วยอาหารไก่คลุกตัวละสามถ้วยซึ่งประกอบด้วยเมล็ดพืช หนอนนก และผักเพื่อช่วยให้ไก่ของเธอมีสุขภาพแข็งแรง เธอแบ่งให้อาหารไก่เป็นสามมื้อ ในตอนเช้า เธอให้อาหารไก่ 15 ถ้วย ในตอนบ่าย เธอให้อาหารไก่อีก 25 ถ้วย ถ้าไก่ในเล้าของเวนดี้มีทั้งหมด 20 ตัว เธอจะต้องให้อาหารไก่ในมื้อสุดท้ายของวันเป็นจำนวนกี่ถ้วย,20,X=20,True,3,3,False
ไคลาร์ไปที่ร้านค้าเพื่อซื้อแก้วสำหรับอพาร์ตเมนต์ใหม่ของเขา แก้วหนึ่งใบราคา $5 แต่ใบที่สองจะคิดราคาเพียง 60% ของราคาเต็ม ไคลาร์ต้องการซื้อแก้ว 16 ใบ เขาต้องจ่ายเงินซื้อแก้วกี่ดอลลาร์,5,"Follow the given examples and answer the question. Give only a final answer in the format X={numeric answer}. Do not include any other text in your response also don't include any textual or symbolic words beside the numeric answer. Here are the examples:
โจทย์: โรเจอร์มีลูกเทนนิส 5 ลูก เขาซื้อลูกเทนนิสเพิ่มอีก 2 กระป๋อง โดยแต่ละกระป๋องมีลูกเทนนิส 3 ลูก ตอนนี้เขามีลูกเทนนิสกี่ลูก
X=11
โจทย์: มีคอมพิวเตอร์เก้าเครื่องในห้องเซิร์ฟเวอร์ โดยตั้งแต่วันจันทร์ถึงวันพฤหัสบดีมีคอมพิวเตอร์ติดตั้งเพิ่มอีกวันละห้าเครื่อง ตอนนี้มีคอมพิวเตอร์ในห้องเซิร์ฟเวอร์กี่เครื่อง
X=29
โจทย์: ลีอามีช็อกโกแลตอยู่ 32 ชิ้น และน้องสาวมีช็อกโกแลตอยู่ 42 ชิ้น หากทั้งสองคนทานช็อกโกแลตไปแล้ว 35 ชิ้น จะเหลือช็อกโกแลตทั้งหมดกี่ชิ้น
X=39",Question: ไคลาร์ไปที่ร้านค้าเพื่อซื้อแก้วสำหรับอพาร์ตเมนต์ใหม่ของเขา แก้วหนึ่งใบราคา $5 แต่ใบที่สองจะคิดราคาเพียง 60% ของราคาเต็ม ไคลาร์ต้องการซื้อแก้ว 16 ใบ เขาต้องจ่ายเงินซื้อแก้วกี่ดอลลาร์,64,X=56,False,3,3,False
ตูลูสมีแกะมากกว่าชาร์ลสตันสองเท่า ชาร์ลสตันมีแกะมากกว่าซีแอตเทิล 4 เท่า ถ้าซีแอตเทิลมีแกะ 20 ตัว ตูลูส ชาร์ลสตัน และซีแอตเทิลมีแกะรวมกันทั้งหมดกี่ตัว,6,"Follow the given examples and answer the question. Give only a final answer in the format X={numeric answer}. Do not include any other text in your response also don't include any textual or symbolic words beside the numeric answer. Here are the examples:
โจทย์: โรเจอร์มีลูกเทนนิส 5 ลูก เขาซื้อลูกเทนนิสเพิ่มอีก 2 กระป๋อง โดยแต่ละกระป๋องมีลูกเทนนิส 3 ลูก ตอนนี้เขามีลูกเทนนิสกี่ลูก
X=11
โจทย์: มีคอมพิวเตอร์เก้าเครื่องในห้องเซิร์ฟเวอร์ โดยตั้งแต่วันจันทร์ถึงวันพฤหัสบดีมีคอมพิวเตอร์ติดตั้งเพิ่มอีกวันละห้าเครื่อง ตอนนี้มีคอมพิวเตอร์ในห้องเซิร์ฟเวอร์กี่เครื่อง
X=29
โจทย์: ลีอามีช็อกโกแลตอยู่ 32 ชิ้น และน้องสาวมีช็อกโกแลตอยู่ 42 ชิ้น หากทั้งสองคนทานช็อกโกแลตไปแล้ว 35 ชิ้น จะเหลือช็อกโกแลตทั้งหมดกี่ชิ้น
X=39",Question: ตูลูสมีแกะมากกว่าชาร์ลสตันสองเท่า ชาร์ลสตันมีแกะมากกว่าซีแอตเทิล 4 เท่า ถ้าซีแอตเทิลมีแกะ 20 ตัว ตูลูส ชาร์ลสตัน และซีแอตเทิลมีแกะรวมกันทั้งหมดกี่ตัว,260,"ตูลูสมีแกะมากกว่าชาร์ลสตันสองเท่า ซึ่งหมายความว่า จำนวนแกะของตูลูสเป็น 2 เท่าของจำนวนแกะของชาร์ลสตัน

ชาร์ลสตันมีแกะมากกว่าซีแอตเทิล 4 เท่า ซึ่งหมายความว่า จำนวนแกะของชาร์ลสตันเป็น 4 เท่าของจำนวนแกะของซีแอตเทิล

ถ้าซีแอตเทิลมีแกะ 20 ตัว จะได้ว่า จำนวนแกะของชาร์ลสตันเป็น 4 x 20 = 80 ตัว

จากนั้น จำนวนแกะของตูลูสเป็น 2 เท่าของจำนวนแกะของชาร์ลสตัน ซึ่งเท่ากับ 2 x 80 = 160 ตัว

ดังนั้น จำนวนแกะรวมกันของตูลูส ชาร์ลสตัน และซีแอตเทิลคือ 20 + 80 + 160 = 260 ตัว

คำตอบคือ X=260",True,418,216,False
คาร์ลากำลังดาวน์โหลดไฟล์ขนาด 200 GB โดยปกติแล้ว เธอสามารถดาวน์โหลดไฟล์ได้ 2 GB/นาที แต่หลังจากดาวน์โหลดไปแล้ว 40% Windows บังคับให้รีสตาร์ทและติดตั้งอัปเดตซึ่งใช้เวลา 20 นาที จากนั้นคาร์ลาต้องเริ่มดาวน์โหลดไฟล์ใหม่ตั้งแต่ต้น คาร์ลาใช้เวลาดาวน์โหลดไฟล์ทั้งหมดกี่นาที,7,"Follow the given examples and answer the question. Give only a final answer in the format X={numeric answer}. Do not include any other text in your response also don't include any textual or symbolic words beside the numeric answer. Here are the examples:
โจทย์: โรเจอร์มีลูกเทนนิส 5 ลูก เขาซื้อลูกเทนนิสเพิ่มอีก 2 กระป๋อง โดยแต่ละกระป๋องมีลูกเทนนิส 3 ลูก ตอนนี้เขามีลูกเทนนิสกี่ลูก
X=11
โจทย์: มีคอมพิวเตอร์เก้าเครื่องในห้องเซิร์ฟเวอร์ โดยตั้งแต่วันจันทร์ถึงวันพฤหัสบดีมีคอมพิวเตอร์ติดตั้งเพิ่มอีกวันละห้าเครื่อง ตอนนี้มีคอมพิวเตอร์ในห้องเซิร์ฟเวอร์กี่เครื่อง
X=29
โจทย์: ลีอามีช็อกโกแลตอยู่ 32 ชิ้น และน้องสาวมีช็อกโกแลตอยู่ 42 ชิ้น หากทั้งสองคนทานช็อกโกแลตไปแล้ว 35 ชิ้น จะเหลือช็อกโกแลตทั้งหมดกี่ชิ้น
X=39",Question: คาร์ลากำลังดาวน์โหลดไฟล์ขนาด 200 GB โดยปกติแล้ว เธอสามารถดาวน์โหลดไฟล์ได้ 2 GB/นาที แต่หลังจากดาวน์โหลดไปแล้ว 40% Windows บังคับให้รีสตาร์ทและติดตั้งอัปเดตซึ่งใช้เวลา 20 นาที จากนั้นคาร์ลาต้องเริ่มดาวน์โหลดไฟล์ใหม่ตั้งแต่ต้น คาร์ลาใช้เวลาดาวน์โหลดไฟล์ทั้งหมดกี่นาที,160,"คาร์ลาใช้เวลาดาวน์โหลดไฟล์ขนาด 200 GB ได้ 2 GB/นาที ซึ่งหมายความว่าเธอจะใช้เวลาดาวน์โหลดไฟล์นี้ทั้งหมด 100 นาที (200 GB / 2 GB/นาที = 100 นาที)

หลังจากนั้น Windows บังคับให้รีสตาร์ทและติดตั้งอัปเดตซึ่งใช้เวลา 20 นาที

ดังนั้น คาร์ลาต้องเริ่มดาวน์โหลดไฟล์ใหม่ตั้งแต่ต้น ซึ่งใช้เวลา 100 นาที

รวมเวลาทั้งหมดที่ใช้ในการดาวน์โหลดไฟล์ทั้งหมดคือ 100 นาที + 20 นาที = 120 นาที

ดังนั้น คาร์ลาใช้เวลาดาวน์โหลดไฟล์ทั้งหมด 120 นาที",False,385,151,False
จอห์นใช้เวลาขับรถ 3 ชั่วโมงที่ความเร็ว 60 ไมล์ต่อชั่วโมง จากนั้นเลี้ยวรถกลับเพราะนึกขึ้นได้ว่าลืมของบางอย่างที่สำคัญมากไว้ที่บ้าน เขาพยายามกลับให้ถึงบ้านภายใน 4 ชั่วโมง แต่รถติดถึงขั้นจอดนิ่งในช่วง 2 ชั่วโมงแรก ครึ่งชั่วโมงต่อมาเขาขับรถด้วยความเร็ว 30 ไมล์ต่อชั่วโมง ก่อนจะขับได้ที่ความเร็ว 80 ไมล์ต่อชั่วโมงในช่วงเวลาที่เหลือของ 4 ชั่วโมง เมื่อสิ้นสุด 4 ชั่วโมงที่ตั้งไว้แล้ว เขายังอยู่ห่างจากบ้านออกไปกี่ไมล์,8,"Follow the given examples and answer the question. Give only a final answer in the format X={numeric answer}. Do not include any other text in your response also don't include any textual or symbolic words beside the numeric answer. Here are the examples:
โจทย์: โรเจอร์มีลูกเทนนิส 5 ลูก เขาซื้อลูกเทนนิสเพิ่มอีก 2 กระป๋อง โดยแต่ละกระป๋องมีลูกเทนนิส 3 ลูก ตอนนี้เขามีลูกเทนนิสกี่ลูก
X=11
โจทย์: มีคอมพิวเตอร์เก้าเครื่องในห้องเซิร์ฟเวอร์ โดยตั้งแต่วันจันทร์ถึงวันพฤหัสบดีมีคอมพิวเตอร์ติดตั้งเพิ่มอีกวันละห้าเครื่อง ตอนนี้มีคอมพิวเตอร์ในห้องเซิร์ฟเวอร์กี่เครื่อง
X=29
โจทย์: ลีอามีช็อกโกแลตอยู่ 32 ชิ้น และน้องสาวมีช็อกโกแลตอยู่ 42 ชิ้น หากทั้งสองคนทานช็อกโกแลตไปแล้ว 35 ชิ้น จะเหลือช็อกโกแลตทั้งหมดกี่ชิ้น
X=39",Question: จอห์นใช้เวลาขับรถ 3 ชั่วโมงที่ความเร็ว 60 ไมล์ต่อชั่วโมง จากนั้นเลี้ยวรถกลับเพราะนึกขึ้นได้ว่าลืมของบางอย่างที่สำคัญมากไว้ที่บ้าน เขาพยายามกลับให้ถึงบ้านภายใน 4 ชั่วโมง แต่รถติดถึงขั้นจอดนิ่งในช่วง 2 ชั่วโมงแรก ครึ่งชั่วโมงต่อมาเขาขับรถด้วยความเร็ว 30 ไมล์ต่อชั่วโมง ก่อนจะขับได้ที่ความเร็ว 80 ไมล์ต่อชั่วโมงในช่วงเวลาที่เหลือของ 4 ชั่วโมง เมื่อสิ้นสุด 4 ชั่วโมงที่ตั้งไว้แล้ว เขายังอยู่ห่างจากบ้านออกไปกี่ไมล์,45,X=170,False,3,3,False
อัตราค่าจ้างต่อชั่วโมงของเอลิซาใน 40 ชั่วโมงแรกของการทำงานแต่ละสัปดาห์อยู่ที่ $10 และเธอได้รับค่าจ้างทำงานล่วงเวลาเป็น 1.2 เท่าของอัตราค่าจ้างต่อชั่วโมงตามปกติของเธอ ถ้าสัปดาห์นี้ เอลิซาทำงาน 45 ชั่วโมง รายได้ของเธอในสัปดาห์นี้จะเท่ากับกี่ดอลลาร์,9,"Follow the given examples and answer the question. Give only a final answer in the format X={numeric answer}. Do not include any other text in your response also don't include any textual or symbolic words beside the numeric answer. Here are the examples:
โจทย์: โรเจอร์มีลูกเทนนิส 5 ลูก เขาซื้อลูกเทนนิสเพิ่มอีก 2 กระป๋อง โดยแต่ละกระป๋องมีลูกเทนนิส 3 ลูก ตอนนี้เขามีลูกเทนนิสกี่ลูก
X=11
โจทย์: มีคอมพิวเตอร์เก้าเครื่องในห้องเซิร์ฟเวอร์ โดยตั้งแต่วันจันทร์ถึงวันพฤหัสบดีมีคอมพิวเตอร์ติดตั้งเพิ่มอีกวันละห้าเครื่อง ตอนนี้มีคอมพิวเตอร์ในห้องเซิร์ฟเวอร์กี่เครื่อง
X=29
โจทย์: ลีอามีช็อกโกแลตอยู่ 32 ชิ้น และน้องสาวมีช็อกโกแลตอยู่ 42 ชิ้น หากทั้งสองคนทานช็อกโกแลตไปแล้ว 35 ชิ้น จะเหลือช็อกโกแลตทั้งหมดกี่ชิ้น
X=39",Question: อัตราค่าจ้างต่อชั่วโมงของเอลิซาใน 40 ชั่วโมงแรกของการทำงานแต่ละสัปดาห์อยู่ที่ $10 และเธอได้รับค่าจ้างทำงานล่วงเวลาเป็น 1.2 เท่าของอัตราค่าจ้างต่อชั่วโมงตามปกติของเธอ ถ้าสัปดาห์นี้ เอลิซาทำงาน 45 ชั่วโมง รายได้ของเธอในสัปดาห์นี้จะเท่ากับกี่ดอลลาร์,460,"อัตราค่าจ้างต่อชั่วโมงของเอลิซาใน 40 ชั่วโมงแรกของการทำงานแต่ละสัปดาห์ = $10
ค่าจ้างทำงานล่วงเวลา = 1.2 เท่าของอัตราค่าจ้างต่อชั่วโมงตามปกติของเธอ = $10 x 1.2 = $12
รายได้ของเธอในสัปดาห์นี้ = (40 x $10) + (5 x $12) = $400 + $60 = $460

X=460",True,200,118,False
