question,question_idx,system_prompt,user_prompt,answer_number,model_answer,model correct,answer_n_token_3.5,answer_n_token_4o,is_fucked
జనెత్ బాతులు ప్రతిరోజూ 16 గుడ్లు పెడతాయి. ఆమె ప్రతిరోజూ ఉదయం అల్పాహారం కొరకు మూడు గుడ్లు తింటుంది మరియు ప్రతిరోజూ నాలుగింటితో తన స్నేహితుల కొరకు మఫిన్‌లు బేక్ చేస్తుంది. ఆమె మిగిలిన వాటిని రోజూ రైతు మార్కెట్ వద్ద ప్రతి తాజా బాతు గుడ్డును $2కు విక్రయిస్తుంది. ఆమె రైతు మార్కెట్ వద్ద ప్రతిరోజూ ఎన్ని డాలర్లు సంపాదిస్తుంది?,0,,జనెత్ బాతులు ప్రతిరోజూ 16 గుడ్లు పెడతాయి. ఆమె ప్రతిరోజూ ఉదయం అల్పాహారం కొరకు మూడు గుడ్లు తింటుంది మరియు ప్రతిరోజూ నాలుగింటితో తన స్నేహితుల కొరకు మఫిన్‌లు బేక్ చేస్తుంది. ఆమె మిగిలిన వాటిని రోజూ రైతు మార్కెట్ వద్ద ప్రతి తాజా బాతు గుడ్డును $2కు విక్రయిస్తుంది. ఆమె రైతు మార్కెట్ వద్ద ప్రతిరోజూ ఎన్ని డాలర్లు సంపాదిస్తుంది?,18,"జనెత్ బాతులు ప్రతిరోజూ 16 గుడ్లు పెడతాయి. ఆమె ప్రతిరోజూ ఉదయం అల్పాహారం కొరకు 3 గుడ్లు తింటుంది మరియు ప్రతిరోజూ 4 గుడ్లతో తన స్నేహితుల కొరకు మఫిన్‌లు బేక్ చేస్తుంది. 

మొత్తం గుడ్లు: 16
అల్పాహారం కొరకు గుడ్లు: 3
మఫిన్‌ల కొరకు గుడ్లు: 4

మిగిలిన గుడ్లు = మొత్తం గుడ్లు - (అల్పాహారం గుడ్లు + మఫిన్‌ల గుడ్లు)
మిగిలిన గుడ్లు = 16 - (3 + 4)
మిగిలిన గుడ్లు = 16 - 7
మిగిలిన గుడ్లు = 9

ఆమె రైతు మార్కెట్ వద్ద ప్రతి గుడ్డును $2కు విక్రయిస్తుంది.
మిగిలిన గుడ్లను విక్రయించి సంపాదించే డబ్బు = మిగిలిన గుడ్లు * ప్రతి గుడ్డుకు ధర
సంపాదించే డబ్బు = 9 * $2
సంపాదించే డబ్బు = $18

కాబట్టి, ఆమె రైతు మార్కెట్ వద్ద ప్రతిరోజూ $18 సంపాదిస్తుంది.",True,999,280,False
ఒక రోబ్ 2 బోల్ట్‌ల బ్లూ ఫైబర్ మరియు దానిలో సగం వైట్ ఫైబర్‌ని తీసుకుంది. అది మొత్తం ఎన్ని బోల్ట్‌లను తీసుకుంది?,1,,ఒక రోబ్ 2 బోల్ట్‌ల బ్లూ ఫైబర్ మరియు దానిలో సగం వైట్ ఫైబర్‌ని తీసుకుంది. అది మొత్తం ఎన్ని బోల్ట్‌లను తీసుకుంది?,3,"ఒక రోబ్ 2 బోల్ట్‌ల బ్లూ ఫైబర్ మరియు దానిలో సగం వైట్ ఫైబర్‌ని తీసుకుంది అంటే:

1. మొత్తం బ్లూ ఫైబర్ బోల్ట్‌లు = 2
2. వైట్ ఫైబర్ బోల్ట్‌లు = 2 బ్లూ ఫైబర్ బోల్ట్‌లలో సగం = 2/2 = 1

అంటే, మొత్తం బోల్ట్‌లు = బ్లూ ఫైబర్ బోల్ట్‌లు + వైట్ ఫైబర్ బోల్ట్‌లు
= 2 + 1
= 3

కాబట్టి, రోబ్ మొత్తం 3 బోల్ట్‌లను తీసుకుంది.",True,467,155,False
"జోష్ ఒక ఇంటిపై పెట్టుబడి పెట్టాలని నిర్ణయించుకున్నాడు. అతడు ఒక ఇంటిని $80,000కు కొనుగోలు చేసి, తరువాత మరమ్మత్తుల కొరకు $50,000 వెచ్చించాడు. ఇది ఇంటి విలువను 150% పెంచింది. అతడు ఎంత లాభం పొందాడు?",2,,"జోష్ ఒక ఇంటిపై పెట్టుబడి పెట్టాలని నిర్ణయించుకున్నాడు. అతడు ఒక ఇంటిని $80,000కు కొనుగోలు చేసి, తరువాత మరమ్మత్తుల కొరకు $50,000 వెచ్చించాడు. ఇది ఇంటి విలువను 150% పెంచింది. అతడు ఎంత లాభం పొందాడు?",70000,"జోష్ పెట్టుబడి పెట్టిన ఇంటి లాభాన్ని గణించడానికి, ముందుగా ఇంటి మొత్తం ఖర్చును మరియు మరమ్మత్తుల తరువాత ఇంటి కొత్త విలువను కనుగొనాలి.

1. **మొత్తం ఖర్చు:**
   - ఇంటి కొనుగోలు ధర: $80,000
   - మరమ్మత్తుల ఖర్చు: $50,000
   - మొత్తం ఖర్చు = $80,000 + $50,000 = $130,000

2. **మరమ్మత్తుల తరువాత ఇంటి విలువ:**
   - ఇంటి విలువ 150% పెరిగింది అంటే, కొత్త విలువ = 100% + 150% = 250% (అసలు విలువ)
   - అసలు విలువ = $80,000
   - కొత్త విలువ = 250% * $80,000 = 2.5 * $80,000 = $200,000

3. **లాభం:**
   - లాభం = కొత్త విలువ - మొత్తం ఖర్చు
   - లాభం = $200,000 - $130,000 = $70,000

అందువలన, జోష్ $70,000 లాభం పొందాడు.",True,743,264,False
జేమ్ప్ వారంలో 3 సార్లు 3 స్ప్రింట్స్ పరిగెత్తాలని నిర్ణయించుకున్నాడు. అతడు ప్రతి స్ప్రింట్‌లో 60 మీటర్లు పరిగెత్తాడు. అతడు ఒక వారంలో ఎన్ని మీటర్లు పరిగెత్తాడు?,3,,జేమ్ప్ వారంలో 3 సార్లు 3 స్ప్రింట్స్ పరిగెత్తాలని నిర్ణయించుకున్నాడు. అతడు ప్రతి స్ప్రింట్‌లో 60 మీటర్లు పరిగెత్తాడు. అతడు ఒక వారంలో ఎన్ని మీటర్లు పరిగెత్తాడు?,540,"జేమ్ప్ వారంలో 3 సార్లు 3 స్ప్రింట్స్ పరిగెత్తాలని నిర్ణయించుకున్నాడు. అంటే, అతడు వారంలో మొత్తం 3 సార్లు 3 స్ప్రింట్స్ పరిగెత్తుతాడు.

ప్రతి స్ప్రింట్‌లో 60 మీటర్లు పరిగెత్తాడు కాబట్టి, ఒకసారి పరిగెత్తినప్పుడు మొత్తం పరిగెత్తిన దూరం:
\[ 3 \text{ స్ప్రింట్స్} \times 60 \text{ మీటర్లు} = 180 \text{ మీటర్లు} \]

ఇప్పుడు, అతడు వారంలో 3 సార్లు పరిగెత్తుతాడు కాబట్టి, మొత్తం పరిగెత్తిన దూరం:
\[ 3 \text{ సార్లు} \times 180 \text{ మీటర్లు} = 540 \text{ మీటర్లు} \]

అందువల్ల, జేమ్ప్ ఒక వారంలో మొత్తం 540 మీటర్లు పరిగెత్తాడు.",True,765,215,False
"ప్రతిరోజూ, విండీ తన కోళ్లు ఆరోగ్యవంతంగా ఉండేందుకు సాయపడటానికి గింజలు, మీల్‌వార్మ్‌లు మరియు కూరగాయలు ఉండే మిక్సిడ్ చికెన్ ఫీడ్ యొక్క మూడు కప్పులను తన ప్రతి కోడికి పెడుతుంది. ఆమె కోళ్లకు మూడుసార్లు విడి మేతగా ఈ ఫీడ్‌ని ఇస్తుంది. ఉదయం పూట, ఆమె తన కోళ్ల మందకు 15 కప్పుల ఫీడ్‌ని ఇస్తుంది. మధ్యాహ్నం ఆమె తన కోళ్లకు మరో 25 కప్పుల ఫీడ్‌ని ఇస్తుంది. విండీ మందలో 20 కోళ్లు ఉన్నట్లయితే రోజులో చివరి మేతలో ఆమె కోళ్లకు ఎన్ని కప్పుల ఫీడ్‌ని ఇవ్వాల్సి ఉంటుంది?",4,,"ప్రతిరోజూ, విండీ తన కోళ్లు ఆరోగ్యవంతంగా ఉండేందుకు సాయపడటానికి గింజలు, మీల్‌వార్మ్‌లు మరియు కూరగాయలు ఉండే మిక్సిడ్ చికెన్ ఫీడ్ యొక్క మూడు కప్పులను తన ప్రతి కోడికి పెడుతుంది. ఆమె కోళ్లకు మూడుసార్లు విడి మేతగా ఈ ఫీడ్‌ని ఇస్తుంది. ఉదయం పూట, ఆమె తన కోళ్ల మందకు 15 కప్పుల ఫీడ్‌ని ఇస్తుంది. మధ్యాహ్నం ఆమె తన కోళ్లకు మరో 25 కప్పుల ఫీడ్‌ని ఇస్తుంది. విండీ మందలో 20 కోళ్లు ఉన్నట్లయితే రోజులో చివరి మేతలో ఆమె కోళ్లకు ఎన్ని కప్పుల ఫీడ్‌ని ఇవ్వాల్సి ఉంటుంది?",20,"ముందుగా, విండీ తన ప్రతి కోడికి రోజుకు ఎన్ని కప్పుల ఫీడ్ ఇస్తుందో కనుక్కుందాం. విండీ తన ప్రతి కోడికి మూడు కప్పుల ఫీడ్ ఇస్తుంది మరియు ఆమె మందలో 20 కోళ్లు ఉన్నాయి. 

అందువల్ల, మొత్తం ఫీడ్ = 3 కప్పులు/కోడి * 20 కోళ్లు = 60 కప్పుల ఫీడ్.

ఇప్పుడు, విండీ ఉదయం పూట 15 కప్పుల ఫీడ్ ఇస్తుంది మరియు మధ్యాహ్నం 25 కప్పుల ఫీడ్ ఇస్తుంది.

మొత్తం ఉదయం మరియు మధ్యాహ్నం ఫీడ్ = 15 కప్పులు + 25 కప్పులు = 40 కప్పులు.

మొత్తం రోజుకు అవసరమైన ఫీడ్ 60 కప్పులు, అందువల్ల చివరి మేతలో ఇవ్వాల్సిన ఫీడ్ = 60 కప్పులు - 40 కప్పులు = 20 కప్పులు.

అందువల్ల, విండీ రోజులో చివరి మేతలో తన కోళ్లకు 20 కప్పుల ఫీడ్ ఇవ్వాల్సి ఉంటుంది.",True,933,251,False
"కైలర్ తన కొత్త అపార్ట్‌మెంట్ కొరకు గ్లాసులను కొనుగోలు చేయడానికి స్టోరుకు వెళ్లాడు. ఒక గ్లాసు ఖరీదు $5, కానీ ప్రతి రెండో గ్లాసు ఖరీదు ధరలో కేవలం 60% మాత్రమే. కైలర్ 16 గ్లాసులను కొనుగోలు చేయాలని కోరుకుంటున్నాడు. అతడు వాటి కొరకు ఎంత చెల్లించాల్సి ఉంటుంది?",5,,"కైలర్ తన కొత్త అపార్ట్‌మెంట్ కొరకు గ్లాసులను కొనుగోలు చేయడానికి స్టోరుకు వెళ్లాడు. ఒక గ్లాసు ఖరీదు $5, కానీ ప్రతి రెండో గ్లాసు ఖరీదు ధరలో కేవలం 60% మాత్రమే. కైలర్ 16 గ్లాసులను కొనుగోలు చేయాలని కోరుకుంటున్నాడు. అతడు వాటి కొరకు ఎంత చెల్లించాల్సి ఉంటుంది?",64,"కైలర్ 16 గ్లాసులను కొనుగోలు చేయాలని కోరుకుంటున్నాడు. ప్రతి రెండో గ్లాసు ఖరీదు ధరలో కేవలం 60% మాత్రమే. 

మొదట, గ్లాసుల ధరలను విభజిద్దాం:
- ప్రతి మొదటి గ్లాసు ఖరీదు $5.
- ప్రతి రెండో గ్లాసు ఖరీదు $5 యొక్క 60%, అంటే \( 5 \times 0.60 = $3 \).

ఇప్పుడు, 16 గ్లాసులను కొనుగోలు చేయడానికి, కైలర్ 8 జంటలను కొనుగోలు చేయాలి (16 గ్లాసులు = 8 జంటలు).

ప్రతి జంట యొక్క ఖరీదు:
- మొదటి గ్లాసు: $5
- రెండో గ్లాసు: $3
- మొత్తం: \( 5 + 3 = $8 \)

8 జంటల ఖరీదు:
\[ 8 \times 8 = $64 \]

కాబట్టి, కైలర్ 16 గ్లాసులను కొనుగోలు చేయడానికి $64 చెల్లించాల్సి ఉంటుంది.",True,774,238,False
"టౌలస్ వద్ద చార్లెస్టన్ కంటే రెట్టింపు సంఖ్యలో గొర్రెలు ఉన్నాయి. చార్లెస్టన్ వద్ద సియాటెల్ కంటే 4 రెట్లు ఎక్కువగా గొర్రెలు ఉన్నాయి. సియాటెల్ వద్ద 20 గొర్రెలు ఉన్నట్లయితే టౌలస్, చార్లెస్టన్ మరియు సియాటెల్ వద్ద మొత్తం ఎన్ని గొర్రెలు ఉన్నాయి?",6,,"టౌలస్ వద్ద చార్లెస్టన్ కంటే రెట్టింపు సంఖ్యలో గొర్రెలు ఉన్నాయి. చార్లెస్టన్ వద్ద సియాటెల్ కంటే 4 రెట్లు ఎక్కువగా గొర్రెలు ఉన్నాయి. సియాటెల్ వద్ద 20 గొర్రెలు ఉన్నట్లయితే టౌలస్, చార్లెస్టన్ మరియు సియాటెల్ వద్ద మొత్తం ఎన్ని గొర్రెలు ఉన్నాయి?",260,"మొత్తం గొర్రెల సంఖ్యను కనుగొనడానికి, ప్రతి నగరంలో గొర్రెల సంఖ్యను లెక్కించాలి.

1. సియాటెల్ వద్ద గొర్రెలు = 20

2. చార్లెస్టన్ వద్ద గొర్రెలు:
   చార్లెస్టన్ వద్ద సియాటెల్ కంటే 4 రెట్లు ఎక్కువగా గొర్రెలు ఉన్నాయి.
   కాబట్టి, చార్లెస్టన్ వద్ద గొర్రెలు = 4 * సియాటెల్ వద్ద గొర్రెలు
   చార్లెస్టన్ వద్ద గొర్రెలు = 4 * 20 = 80

3. టౌలస్ వద్ద గొర్రెలు:
   టౌలస్ వద్ద చార్లెస్టన్ కంటే రెట్టింపు సంఖ్యలో గొర్రెలు ఉన్నాయి.
   కాబట్టి, టౌలస్ వద్ద గొర్రెలు = 2 * చార్లెస్టన్ వద్ద గొర్రెలు
   టౌలస్ వద్ద గొర్రెలు = 2 * 80 = 160

ఇప్పుడు, మొత్తం గొర్రెలు:
సియాటెల్ + చార్లెస్టన్ + టౌలస్ = 20 + 80 + 160 = 260

మొత్తం గొర్రెలు = 260",True,963,256,True
"కార్లా 200GB ఫైలును డౌన్‌లోడ్ చేస్తోంది. సాధారణంగా ఆమె నిమిషానికి 2 GB డౌన్‌లోడ్ చేయగలదు, కానీ డౌన్‌లోడ్ 40% చేరుకునే సరికి, అప్‌డేట్‌లను ఇన్‌స్టాల్ చేయడానికి విండోస్ ఫోర్స్ రీస్టార్ట్ అయింది, దీనికి 20 నిమిషాలు పట్టింది. తరువాత కార్లా డౌన్‌లోడ్‌ని మొదటి నుంచి తిరిగి ప్రారంభించాల్సి వచ్చింది. ఫైలు డౌన్‌లోడ్ చేయడానికి ఎంత లోడ్ పడుతుంది?",7,,"కార్లా 200GB ఫైలును డౌన్‌లోడ్ చేస్తోంది. సాధారణంగా ఆమె నిమిషానికి 2 GB డౌన్‌లోడ్ చేయగలదు, కానీ డౌన్‌లోడ్ 40% చేరుకునే సరికి, అప్‌డేట్‌లను ఇన్‌స్టాల్ చేయడానికి విండోస్ ఫోర్స్ రీస్టార్ట్ అయింది, దీనికి 20 నిమిషాలు పట్టింది. తరువాత కార్లా డౌన్‌లోడ్‌ని మొదటి నుంచి తిరిగి ప్రారంభించాల్సి వచ్చింది. ఫైలు డౌన్‌లోడ్ చేయడానికి ఎంత లోడ్ పడుతుంది?",160,"మొదట, కార్లా 200GB ఫైలును డౌన్‌లోడ్ చేయడానికి ఎంత సమయం పడుతుందో లెక్కించుకుందాం.

కార్లా డౌన్‌లోడ్ వేగం: 2 GB/నిమిషం

మొత్తం ఫైలు పరిమాణం: 200 GB

మొత్తం డౌన్‌లోడ్ సమయం = మొత్తం ఫైలు పరిమాణం / డౌన్‌లోడ్ వేగం
= 200 GB / 2 GB/నిమిషం
= 100 నిమిషాలు

కార్లా 40% డౌన్‌లోడ్ చేసినప్పుడు, ఆమె ఎంత ఫైలు డౌన్‌లోడ్ చేసిందో లెక్కించుకుందాం.

40% ఫైలు పరిమాణం = 0.40 * 200 GB
= 80 GB

80 GB డౌన్‌లోడ్ చేయడానికి కార్లాకు ఎంత సమయం పట్టిందో లెక్కించుకుందాం.

80 GB డౌన్‌లోడ్ సమయం = 80 GB / 2 GB/నిమిషం
= 40 నిమిషాలు

అప్పటికి, విండోస్ అప్‌డేట్‌లను ఇన్‌స్టాల్ చేయడానికి 20 నిమిషాలు పట్టింది.

మొత్తం సమయం = 40 నిమిషాలు (డౌన్‌లోడ్) + 20 నిమిషాలు (అప్‌డేట్)
= 60 నిమిషాలు

తరువాత, కార్లా డౌన్‌లోడ్‌ని మొదటి నుంచి తిరిగి ప్రారంభించాల్సి వచ్చింది. మళ్లీ 200 GB డౌన్‌లోడ్ చేయడానికి 100 నిమిషాలు పట్టింది.

మొత్తం సమయం = 60 నిమిషాలు (ముందు) + 100 నిమిషాలు (తరువాత)
= 160 నిమిషాలు

కాబట్టి, కార్లా 200GB ఫైలును డౌన్‌లోడ్ చేయడానికి మొత్తం 160 నిమిషాలు పడుతుంది.",True,1402,426,False
"జాన్ గంటకు 60 మైళ్ల వేగంతో 3 గంటలపాటు ప్రయాణించాడు, ఇంటి వద్ద ముఖ్యమైనది ఏదో మర్చిపోయినట్లుగా అతడు అర్థం చేసుకోవడంతో వెనక్కి తిరిగాడు. అతడు 4 గంటల్లో ఇంటికి చేరుకోవడానికి ప్రయత్నిస్తాడు. కానీ మొదటి 2 గంటలు అతడు కదలకుండా ఆగిపోయిన ట్రాఫిక్‌లో గడిపాడు. అతడు తరువాత అర్ధ గంట 30 మైళ్ల వేగంతో ప్రయాణించాడు, 4 గంటల్లో మిగిన సమయాన్ని అతడు గంటకు 80 మైళ్ల వేగంతో ప్రయాణించగలుగుతాడు. ఆ 4 గంటలు ముగిసిన తరువాత అతడు ఇంటి నుంచి ఎంత దూరంలో ఉంటాడు?",8,,"జాన్ గంటకు 60 మైళ్ల వేగంతో 3 గంటలపాటు ప్రయాణించాడు, ఇంటి వద్ద ముఖ్యమైనది ఏదో మర్చిపోయినట్లుగా అతడు అర్థం చేసుకోవడంతో వెనక్కి తిరిగాడు. అతడు 4 గంటల్లో ఇంటికి చేరుకోవడానికి ప్రయత్నిస్తాడు. కానీ మొదటి 2 గంటలు అతడు కదలకుండా ఆగిపోయిన ట్రాఫిక్‌లో గడిపాడు. అతడు తరువాత అర్ధ గంట 30 మైళ్ల వేగంతో ప్రయాణించాడు, 4 గంటల్లో మిగిన సమయాన్ని అతడు గంటకు 80 మైళ్ల వేగంతో ప్రయాణించగలుగుతాడు. ఆ 4 గంటలు ముగిసిన తరువాత అతడు ఇంటి నుంచి ఎంత దూరంలో ఉంటాడు?",45,"ముందుగా, జాన్ మొదట 3 గంటలపాటు 60 మైళ్ల వేగంతో ప్రయాణించాడు. అతడు మొత్తం ప్రయాణించిన దూరం:

\[ దూరం = వేగం \times సమయం \]
\[ దూరం = 60 \text{ మైళ్లు/గంట} \times 3 \text{ గంటలు} = 180 \text{ మైళ్లు} \]

ఇప్పుడు, అతడు వెనక్కి తిరిగి ప్రయాణించడం ప్రారంభించాడు. అతడు 4 గంటల్లో ఇంటికి చేరుకోవడానికి ప్రయత్నిస్తాడు, కానీ మొదటి 2 గంటలు ట్రాఫిక్‌లో ఆగిపోయాడు. కాబట్టి, అతడు మొదటి 2 గంటల్లో ఎలాంటి దూరం ప్రయాణించలేదు.

మిగిలిన 2 గంటల్లో, అతడు మొదటి 0.5 గంట 30 మైళ్ల వేగంతో ప్రయాణించాడు:

\[ దూరం = వేగం \times సమయం \]
\[ దూరం = 30 \text{ మైళ్లు/గంట} \times 0.5 \text{ గంటలు} = 15 \text{ మైళ్లు} \]

ఇప్పుడు, అతడు మిగిలిన 1.5 గంటలు 80 మైళ్ల వేగంతో ప్రయాణించాడు:

\[ దూరం = వేగం \times సమయం \]
\[ దూరం = 80 \text{ మైళ్లు/గంట} \times 1.5 \text{ గంటలు} = 120 \text{ మైళ్లు} \]

మొత్తం వెనక్కి ప్రయాణించిన దూరం:

\[ మొత్తం దూరం = 15 \text{ మైళ్లు} + 120 \text{ మైళ్లు} = 135 \text{ మైళ్లు} \]

అతడు మొదట 180 మైళ్లు ప్రయాణించాడు, మరియు వెనక్కి 135 మైళ్లు ప్రయాణించాడు. కాబట్టి, అతడు ఇంటి నుంచి ఎంత దూరంలో ఉన్నాడో కనుగొనడానికి:

\[ ఇంటి నుంచి దూరం = 180 \text{ మైళ్లు} - 135 \text{ మైళ్లు} = 45 \text{ మైళ్లు} \]

అందువల్ల, ఆ 4 గంటలు ముగిసిన తరువాత జాన్ ఇంటి నుంచి 45 మైళ్ల దూరంలో ఉంటాడు.",True,1587,511,False
"ఎలీజా ప్రతివారం ఆమె పని చేసే మొదటి 40 గంటలకు గంటకు $10 రేటును పొందుతుంది. ఆమె ఓవర్ టైమ్ చెల్లింపును రెగ్యులర్ గంట రేటుకు 1.2 చొప్పున కూడా పొందుతుంది. ఎలీజా ఈ వారం 45 గంటలు పనిచేసినట్లయితే, ఈ వారానికి ఆమె ఎంత సంపాదిస్తుంది?",9,,"ఎలీజా ప్రతివారం ఆమె పని చేసే మొదటి 40 గంటలకు గంటకు $10 రేటును పొందుతుంది. ఆమె ఓవర్ టైమ్ చెల్లింపును రెగ్యులర్ గంట రేటుకు 1.2 చొప్పున కూడా పొందుతుంది. ఎలీజా ఈ వారం 45 గంటలు పనిచేసినట్లయితే, ఈ వారానికి ఆమె ఎంత సంపాదిస్తుంది?",460,"ఎలీజా ప్రతివారం 40 గంటల వరకు గంటకు $10 రేటును పొందుతుంది. 40 గంటల తర్వాత ఆమె ఓవర్ టైమ్ చెల్లింపును రెగ్యులర్ రేటుకు 1.2 రెట్లు పొందుతుంది.

మొదట, రెగ్యులర్ గంటల కోసం సంపాదనను లెక్కిద్దాం:
40 గంటలు × $10/గంట = $400

తరువాత, ఓవర్ టైమ్ గంటల కోసం సంపాదనను లెక్కిద్దాం:
45 గంటలు - 40 గంటలు = 5 ఓవర్ టైమ్ గంటలు

ఓవర్ టైమ్ రేటు:
$10/గంట × 1.2 = $12/గంట

ఓవర్ టైమ్ సంపాదన:
5 గంటలు × $12/గంట = $60

మొత్తం సంపాదన:
$400 (రెగ్యులర్ గంటల సంపాదన) + $60 (ఓవర్ టైమ్ సంపాదన) = $460

అందువల్ల, ఎలీజా ఈ వారానికి $460 సంపాదిస్తుంది.",True,751,237,False
